time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-03 11:50:48.198626,30.72%,363.8MiB,0.34%,590.1MiB,3.09%,1.07GiB,0.16%,38.03MiB,10.60%,434.6MiB,23.81%,601.4MiB
2023-11-03 11:50:50.289836,9.49%,363.6MiB,2.59%,589.9MiB,9.84%,1.07GiB,0.12%,38.03MiB,2.24%,434.8MiB,19.35%,602MiB
2023-11-03 11:50:52.442156,9.47%,363.9MiB,1.05%,590.1MiB,11.80%,1.071GiB,0.19%,38.03MiB,3.46%,429.9MiB,23.03%,602.7MiB
2023-11-03 11:50:54.554088,10.10%,364.1MiB,0.00%,590.1MiB,0.68%,1.071GiB,0.14%,38.03MiB,2.17%,430.1MiB,24.55%,602.8MiB
2023-11-03 11:50:56.712817,7.32%,364.7MiB,0.00%,590.4MiB,0.89%,1.071GiB,0.14%,38.03MiB,1.71%,430.1MiB,18.76%,600.3MiB
2023-11-03 11:50:58.826403,11.84%,364.7MiB,46.83%,589.8MiB,5.20%,1.071GiB,0.22%,38.03MiB,6.92%,430.3MiB,15.88%,600.5MiB
2023-11-03 11:51:00.950128,12.17%,365.2MiB,115.74%,531.1MiB,6.20%,1.071GiB,0.14%,38.03MiB,1.94%,430.7MiB,25.76%,601.6MiB
2023-11-03 11:51:03.073489,7.82%,365MiB,0.59%,509.7MiB,1.82%,1.071GiB,0.13%,38.03MiB,1.86%,430.7MiB,23.31%,603.4MiB
2023-11-03 11:51:05.190837,12.07%,365.3MiB,2.09%,510MiB,45.23%,1.079GiB,0.14%,38.04MiB,2.10%,430.9MiB,25.12%,604.6MiB
2023-11-03 11:51:07.330989,15.17%,365.2MiB,0.25%,510MiB,1.29%,1.079GiB,0.18%,38.04MiB,1.62%,430.9MiB,12.45%,604.9MiB
2023-11-03 11:51:09.392131,5.09%,367.3MiB,0.86%,510.4MiB,6.36%,1.079GiB,0.13%,38.04MiB,4.61%,431.1MiB,17.57%,605.7MiB
2023-11-03 11:51:11.489987,5.16%,367.4MiB,0.00%,510.2MiB,0.96%,1.079GiB,0.14%,38.04MiB,1.64%,431.1MiB,12.57%,605.4MiB
2023-11-03 11:51:13.652001,9.56%,368.2MiB,0.74%,510.4MiB,9.74%,1.079GiB,0.14%,38.04MiB,5.72%,431.4MiB,15.26%,605.7MiB
2023-11-03 11:51:15.863435,9.26%,367.9MiB,1.01%,510.6MiB,14.02%,1.079GiB,0.13%,38.04MiB,1.75%,431.4MiB,14.41%,606MiB
2023-11-03 11:51:18.059109,7.81%,368MiB,0.22%,510MiB,4.12%,1.079GiB,0.15%,38.04MiB,1.81%,431.4MiB,22.75%,600MiB
2023-11-03 11:51:20.246926,4.64%,368MiB,1.96%,510.6MiB,19.39%,1.079GiB,0.18%,38.04MiB,1.76%,431.6MiB,13.14%,600.7MiB
2023-11-03 11:51:22.414368,12.06%,368.2MiB,1.87%,511MiB,2.58%,1.08GiB,0.19%,38.05MiB,2.00%,431.3MiB,14.91%,600.5MiB
2023-11-03 11:51:24.542871,76.19%,382MiB,0.13%,510.1MiB,1.34%,1.079GiB,0.13%,38.05MiB,63.56%,457.4MiB,21.96%,601.5MiB
2023-11-03 11:51:26.702772,11.77%,382.1MiB,0.00%,510.4MiB,0.62%,1.08GiB,0.11%,38.05MiB,45.29%,578.5MiB,29.96%,616.2MiB
2023-11-03 11:51:28.821079,5.12%,379.4MiB,0.97%,510.6MiB,19.65%,1.08GiB,0.13%,38.05MiB,9.50%,577MiB,8.77%,617MiB
2023-11-03 11:51:31.018184,4.08%,379.4MiB,0.69%,510.3MiB,1.42%,1.08GiB,0.12%,38.05MiB,10.17%,577.3MiB,11.25%,616.9MiB
2023-11-03 11:51:33.123061,4.57%,379.5MiB,0.29%,510.5MiB,2.12%,1.08GiB,0.18%,38.05MiB,23.17%,574.1MiB,13.51%,616.8MiB
2023-11-03 11:51:35.260793,34.01%,369.3MiB,1.89%,510.8MiB,22.16%,1.08GiB,0.12%,38.05MiB,1.89%,575.3MiB,12.76%,615.8MiB
2023-11-03 11:51:37.420146,9.48%,369.3MiB,0.88%,510.9MiB,2.50%,1.08GiB,0.12%,38.05MiB,1.98%,575.6MiB,9.94%,616.1MiB
2023-11-03 11:51:39.646565,4.21%,369.5MiB,0.71%,510.5MiB,10.34%,1.08GiB,0.10%,38.05MiB,5.22%,575.8MiB,23.57%,608MiB
2023-11-03 11:51:41.776545,4.04%,369.4MiB,0.00%,511.1MiB,0.58%,1.08GiB,0.14%,38.06MiB,1.73%,575.8MiB,7.90%,608.1MiB
2023-11-03 11:51:43.947524,4.72%,369.4MiB,0.75%,510.5MiB,5.65%,1.08GiB,0.11%,38.06MiB,7.75%,564.6MiB,13.10%,608.6MiB
2023-11-03 11:51:46.079668,5.30%,369.4MiB,0.00%,510.7MiB,1.16%,1.08GiB,0.10%,38.06MiB,1.67%,564.7MiB,7.60%,609.7MiB
2023-11-03 11:51:48.267881,8.13%,369.5MiB,0.27%,510.9MiB,1.39%,1.08GiB,0.12%,38.06MiB,2.26%,564.8MiB,11.09%,610.2MiB
2023-11-03 11:51:50.328447,6.54%,369.6MiB,5.87%,510.8MiB,5.56%,1.08GiB,0.14%,38.06MiB,2.78%,564.8MiB,15.02%,610.4MiB
2023-11-03 11:51:52.592848,6.99%,369.6MiB,1.51%,511MiB,4.84%,1.08GiB,0.27%,38.06MiB,1.55%,564.8MiB,13.22%,610.6MiB
2023-11-03 11:51:54.745988,7.54%,370MiB,0.00%,511MiB,0.68%,1.08GiB,0.11%,38.06MiB,2.70%,565.3MiB,13.51%,608.9MiB
2023-11-03 11:51:56.965837,4.55%,369.7MiB,0.00%,511.3MiB,0.65%,1.08GiB,0.15%,38.06MiB,2.03%,565.3MiB,16.03%,609.7MiB
2023-11-03 11:51:59.192828,4.69%,369.7MiB,1.27%,510.8MiB,7.94%,1.08GiB,0.21%,38.06MiB,3.73%,565.3MiB,10.77%,610MiB
2023-11-03 11:52:01.332697,9.75%,369.9MiB,0.00%,511.2MiB,0.71%,1.08GiB,0.13%,38.06MiB,2.33%,565.3MiB,27.88%,611.2MiB
2023-11-03 11:52:03.447333,5.04%,369.9MiB,0.30%,511.4MiB,4.11%,1.08GiB,0.10%,38.06MiB,4.40%,565.3MiB,7.53%,611.6MiB
2023-11-03 11:52:05.584340,3.78%,369.9MiB,0.70%,511MiB,2.46%,1.08GiB,0.14%,38.07MiB,1.68%,565.4MiB,9.23%,612.2MiB
2023-11-03 11:52:07.758526,19.96%,369.9MiB,0.76%,511.2MiB,6.89%,1.08GiB,0.19%,38.07MiB,2.49%,565.4MiB,6.73%,612.5MiB
2023-11-03 11:52:09.892611,4.06%,370.2MiB,2.45%,511MiB,1.41%,1.08GiB,0.11%,38.07MiB,1.81%,565.6MiB,10.07%,613.1MiB
2023-11-03 11:52:11.982344,9.17%,369.9MiB,0.00%,511.2MiB,3.15%,1.08GiB,0.11%,38.07MiB,1.59%,565.6MiB,36.14%,614.7MiB
2023-11-03 11:52:14.005709,6.27%,370.1MiB,0.58%,511.4MiB,7.52%,1.08GiB,0.10%,38.07MiB,3.52%,565.6MiB,7.61%,615.3MiB
2023-11-03 11:52:16.350422,5.76%,370.1MiB,0.00%,511.6MiB,0.89%,1.081GiB,0.17%,38.07MiB,3.29%,565.6MiB,28.92%,616.4MiB
2023-11-03 11:52:18.515288,12.04%,370.1MiB,0.22%,511.1MiB,3.20%,1.081GiB,0.15%,38.07MiB,3.32%,566.3MiB,19.03%,617.3MiB
2023-11-03 11:52:20.805317,10.75%,370.4MiB,11.37%,511.7MiB,14.28%,1.081GiB,0.12%,38.07MiB,2.56%,566.3MiB,10.19%,617.6MiB
2023-11-03 11:52:22.925000,4.57%,370.2MiB,1.16%,511.1MiB,3.80%,1.081GiB,0.23%,38.08MiB,4.41%,566.3MiB,6.69%,618.5MiB
2023-11-03 11:52:24.992531,4.55%,370.2MiB,0.96%,511.2MiB,0.54%,1.081GiB,0.13%,38.08MiB,1.55%,566.4MiB,7.62%,619.8MiB
2023-11-03 11:52:27.058933,3.62%,370.2MiB,0.00%,511.3MiB,0.86%,1.081GiB,0.12%,38.08MiB,2.06%,569.2MiB,19.19%,620.2MiB
2023-11-03 11:52:29.083246,4.41%,370.6MiB,1.43%,511.5MiB,4.13%,1.081GiB,0.19%,38.08MiB,12.49%,569.5MiB,12.45%,615.7MiB
2023-11-03 11:52:31.224605,6.17%,370.3MiB,0.00%,511.1MiB,0.55%,1.081GiB,0.10%,38.08MiB,7.89%,569.5MiB,32.53%,624.7MiB
2023-11-03 11:52:33.436819,3.52%,370.3MiB,0.27%,511.4MiB,1.78%,1.081GiB,0.14%,38.08MiB,4.71%,569.6MiB,11.48%,620.5MiB
2023-11-03 11:52:35.583827,6.20%,370.4MiB,2.17%,511.6MiB,3.51%,1.081GiB,0.12%,38.08MiB,5.17%,569.7MiB,23.47%,621.4MiB
2023-11-03 11:52:37.702328,7.55%,370.4MiB,0.95%,511.8MiB,10.61%,1.081GiB,0.13%,38.08MiB,1.97%,569.7MiB,8.71%,621.1MiB
2023-11-03 11:52:39.853266,7.03%,370.7MiB,0.00%,511.2MiB,0.71%,1.081GiB,0.12%,38.09MiB,21.65%,569.8MiB,38.64%,623.9MiB
2023-11-03 11:52:42.019133,3.72%,370.5MiB,0.00%,511.8MiB,6.29%,1.081GiB,0.11%,38.09MiB,2.01%,569.8MiB,14.05%,624.4MiB
2023-11-03 11:52:44.163013,9.33%,371.1MiB,2.30%,511.1MiB,2.24%,1.081GiB,0.15%,38.09MiB,7.11%,569.9MiB,13.95%,625.1MiB
2023-11-03 11:52:46.327378,6.68%,370.6MiB,0.00%,511.3MiB,1.26%,1.081GiB,0.38%,38.09MiB,5.50%,570MiB,94.72%,655.4MiB
2023-11-03 11:52:48.558623,19.11%,370.6MiB,0.31%,511.5MiB,2.33%,1.081GiB,0.13%,38.09MiB,5.55%,570MiB,18.32%,654.6MiB
2023-11-03 11:52:50.668490,4.54%,370.8MiB,2.62%,511.3MiB,2.28%,1.081GiB,0.14%,38.09MiB,2.10%,571.4MiB,19.51%,653.4MiB
2023-11-03 11:52:52.761196,12.19%,370.6MiB,1.97%,511.4MiB,6.03%,1.081GiB,0.21%,38.1MiB,1.77%,571.5MiB,12.75%,655MiB
2023-11-03 11:52:54.860736,7.01%,370.6MiB,0.00%,511.4MiB,0.49%,1.081GiB,0.13%,38.1MiB,5.18%,571.6MiB,14.53%,655.4MiB
2023-11-03 11:52:57.094067,8.89%,370.9MiB,0.00%,511.7MiB,0.55%,1.081GiB,0.17%,38.1MiB,2.06%,571.6MiB,11.25%,656.3MiB
2023-11-03 11:52:59.193364,5.40%,370.9MiB,3.86%,511.1MiB,17.11%,1.081GiB,0.16%,38.1MiB,4.41%,571.7MiB,12.32%,657MiB
2023-11-03 11:53:01.297880,4.58%,370.6MiB,0.00%,511.5MiB,0.67%,1.081GiB,0.15%,38.1MiB,9.78%,571.7MiB,9.07%,657.6MiB
2023-11-03 11:53:03.570924,10.28%,370.6MiB,0.26%,511.7MiB,2.38%,1.081GiB,0.13%,38.1MiB,3.40%,571.7MiB,16.03%,658.7MiB
2023-11-03 11:53:05.737698,7.60%,370.7MiB,1.10%,511.1MiB,24.69%,1.081GiB,0.11%,38.1MiB,2.16%,572.1MiB,10.31%,659.5MiB
2023-11-03 11:53:07.985623,105.97%,376.8MiB,1.41%,511.3MiB,5.22%,1.081GiB,0.12%,38.1MiB,2.19%,570.3MiB,14.67%,660.3MiB
2023-11-03 11:53:10.285403,22.40%,382.1MiB,1.81%,511.1MiB,1.66%,1.082GiB,0.15%,38.1MiB,4.98%,570.4MiB,6.50%,660.8MiB
2023-11-03 11:53:12.344777,28.26%,381.9MiB,0.00%,511.2MiB,0.66%,1.082GiB,0.15%,38.11MiB,1.91%,570.4MiB,12.87%,662.2MiB
2023-11-03 11:53:14.451572,9.83%,381.9MiB,1.31%,511.5MiB,9.76%,1.082GiB,0.15%,38.11MiB,79.54%,599.1MiB,13.14%,662.9MiB
