time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-04 14:10:59.938049,9.37%,376.4MiB,0.00%,616MiB,0.65%,1.021GiB,0.11%,35.56MiB,1.35%,537.6MiB,18.44%,553.9MiB
2023-11-04 14:11:02.057435,12.59%,376.7MiB,0.68%,616.1MiB,12.06%,1.021GiB,0.14%,35.56MiB,1.76%,537.6MiB,27.07%,556.2MiB
2023-11-04 14:11:04.252318,11.92%,377.1MiB,0.57%,616.1MiB,1.62%,1.021GiB,0.18%,35.56MiB,1.54%,537.6MiB,14.46%,556.1MiB
2023-11-04 14:11:06.409268,8.13%,377.1MiB,7.03%,587.2MiB,2.03%,1.022GiB,0.12%,35.56MiB,1.39%,537.7MiB,17.00%,556.5MiB
2023-11-04 14:11:08.517222,10.91%,377.2MiB,0.25%,587.3MiB,1.68%,1.022GiB,0.14%,35.56MiB,2.63%,537.9MiB,14.19%,556.6MiB
2023-11-04 14:11:10.711730,8.88%,377.3MiB,1.09%,587.3MiB,6.50%,1.022GiB,0.17%,35.57MiB,1.79%,537.9MiB,16.90%,557.2MiB
2023-11-04 14:11:12.895585,9.17%,377.4MiB,0.00%,587.3MiB,1.16%,1.022GiB,0.13%,35.57MiB,2.03%,537.9MiB,19.72%,557.9MiB
2023-11-04 14:11:15.089955,14.46%,377.8MiB,0.00%,587.3MiB,0.60%,1.022GiB,0.23%,35.57MiB,3.58%,538MiB,45.11%,563.3MiB
2023-11-04 14:11:17.248795,18.23%,378.5MiB,150.23%,551.5MiB,13.79%,1.022GiB,0.21%,35.57MiB,4.37%,538.2MiB,18.67%,564.2MiB
2023-11-04 14:11:19.421302,7.52%,377.8MiB,33.93%,524MiB,4.70%,1.022GiB,0.13%,35.57MiB,1.75%,538.2MiB,14.28%,565.1MiB
2023-11-04 14:11:21.643519,13.29%,378.1MiB,1.49%,503.6MiB,3.17%,1.022GiB,0.20%,35.57MiB,1.87%,538.2MiB,12.78%,560.2MiB
2023-11-04 14:11:23.661866,6.98%,378.2MiB,0.29%,503.8MiB,3.31%,1.022GiB,0.16%,35.57MiB,1.73%,538.2MiB,18.64%,565MiB
2023-11-04 14:11:25.831731,14.67%,378.2MiB,6.42%,504.6MiB,24.48%,1.026GiB,0.13%,35.57MiB,1.56%,538.3MiB,8.54%,565.2MiB
2023-11-04 14:11:27.918346,10.27%,378.3MiB,0.00%,503.6MiB,1.20%,1.026GiB,0.18%,35.58MiB,2.12%,538MiB,14.25%,566.6MiB
2023-11-04 14:11:30.102198,75.68%,380.7MiB,0.00%,503.8MiB,0.96%,1.027GiB,0.15%,35.58MiB,2.14%,536.2MiB,8.34%,567.5MiB
2023-11-04 14:11:32.261119,7.34%,381MiB,0.41%,504.1MiB,2.11%,1.027GiB,0.12%,35.58MiB,1.36%,536.2MiB,9.55%,567.7MiB
2023-11-04 14:11:34.437239,9.82%,381MiB,3.20%,504.4MiB,22.85%,1.027GiB,0.12%,35.58MiB,1.74%,536.2MiB,10.95%,566.2MiB
2023-11-04 14:11:36.505285,4.53%,375.4MiB,1.48%,504.1MiB,5.56%,1.027GiB,0.14%,35.58MiB,1.52%,536.4MiB,10.37%,560.4MiB
2023-11-04 14:11:38.677167,7.77%,375.7MiB,0.35%,504.3MiB,1.64%,1.027GiB,0.13%,35.58MiB,4.32%,536.6MiB,8.38%,561MiB
2023-11-04 14:11:40.726628,5.92%,375.6MiB,1.82%,503.7MiB,6.55%,1.027GiB,0.11%,35.58MiB,1.36%,536.6MiB,19.08%,562.5MiB
2023-11-04 14:11:42.919865,34.30%,376.2MiB,0.00%,503.8MiB,6.07%,1.027GiB,0.11%,35.58MiB,1.52%,536.6MiB,11.22%,563.5MiB
2023-11-04 14:11:45.123617,4.81%,375.9MiB,0.00%,504MiB,0.58%,1.027GiB,0.20%,35.84MiB,7.45%,536.7MiB,12.08%,566MiB
2023-11-04 14:11:47.345712,4.87%,375.9MiB,0.00%,503.8MiB,3.27%,1.027GiB,0.15%,35.59MiB,31.71%,550MiB,11.98%,566.7MiB
2023-11-04 14:11:49.490223,3.83%,375.9MiB,0.63%,504MiB,4.31%,1.027GiB,0.14%,35.59MiB,1.64%,550MiB,9.66%,567.6MiB
2023-11-04 14:11:51.600076,8.36%,375.9MiB,0.88%,504.1MiB,3.86%,1.027GiB,0.18%,35.59MiB,1.66%,547.8MiB,9.25%,570.3MiB
2023-11-04 14:11:53.754435,4.29%,376.2MiB,0.36%,504.3MiB,1.50%,1.027GiB,0.13%,35.59MiB,1.69%,547.8MiB,8.42%,570.8MiB
2023-11-04 14:11:55.782057,8.31%,376.1MiB,2.85%,504.5MiB,6.77%,1.027GiB,0.13%,35.59MiB,1.54%,547.9MiB,7.50%,571.4MiB
2023-11-04 14:11:57.825269,5.96%,376.5MiB,0.00%,504.2MiB,0.93%,1.027GiB,0.22%,35.59MiB,1.81%,547.9MiB,10.10%,570.7MiB
2023-11-04 14:11:59.920873,5.79%,376.8MiB,0.00%,504.4MiB,0.52%,1.027GiB,0.11%,35.59MiB,10.61%,551.7MiB,8.59%,570.8MiB
2023-11-04 14:12:02.031836,9.02%,376.3MiB,1.86%,504MiB,5.15%,1.027GiB,0.10%,35.59MiB,1.50%,551.7MiB,6.50%,571.5MiB
2023-11-04 14:12:04.069228,10.80%,376.3MiB,0.41%,504.1MiB,1.91%,1.027GiB,0.20%,35.59MiB,1.33%,551.7MiB,19.11%,573MiB
2023-11-04 14:12:06.168935,3.83%,376.3MiB,1.27%,504.1MiB,3.89%,1.027GiB,0.11%,35.59MiB,2.65%,551.7MiB,6.21%,573.9MiB
2023-11-04 14:12:08.451276,13.68%,376.4MiB,0.71%,504.3MiB,6.27%,1.027GiB,0.13%,35.59MiB,1.50%,551.8MiB,8.10%,574.9MiB
2023-11-04 14:12:10.606576,6.72%,376.8MiB,1.20%,504.5MiB,13.52%,1.028GiB,0.20%,35.59MiB,1.61%,551.8MiB,4.90%,574.8MiB
2023-11-04 14:12:12.914986,10.20%,376.5MiB,0.00%,504.6MiB,1.11%,1.028GiB,0.16%,35.59MiB,2.03%,551.8MiB,19.12%,576.3MiB
2023-11-04 14:12:15.073126,4.46%,376.5MiB,0.00%,504.8MiB,0.64%,1.028GiB,0.13%,35.6MiB,4.49%,551.8MiB,10.99%,577.5MiB
2023-11-04 14:12:17.210974,6.25%,376.8MiB,0.92%,504.7MiB,16.91%,1.028GiB,0.19%,35.6MiB,5.05%,551.8MiB,24.97%,583.9MiB
2023-11-04 14:12:19.311162,4.73%,376.6MiB,0.77%,505.1MiB,1.75%,1.028GiB,0.12%,35.6MiB,1.40%,547.4MiB,7.22%,582.3MiB
2023-11-04 14:12:21.508827,3.75%,376.7MiB,3.44%,504.3MiB,1.14%,1.028GiB,0.22%,35.6MiB,1.69%,547.4MiB,28.99%,583MiB
2023-11-04 14:12:23.641224,15.43%,376.8MiB,0.64%,504.5MiB,1.53%,1.028GiB,0.12%,35.6MiB,1.89%,547.4MiB,10.48%,583.7MiB
2023-11-04 14:12:25.787024,11.37%,376.8MiB,1.16%,505MiB,6.76%,1.028GiB,0.11%,35.6MiB,1.43%,547.4MiB,8.11%,584.6MiB
2023-11-04 14:12:27.942559,7.88%,376.8MiB,0.00%,505.1MiB,1.11%,1.028GiB,0.33%,35.61MiB,3.82%,547.4MiB,13.70%,585.8MiB
2023-11-04 14:12:30.102859,6.10%,376.9MiB,0.00%,504.6MiB,0.77%,1.028GiB,0.12%,35.61MiB,1.73%,547.4MiB,8.67%,586.5MiB
2023-11-04 14:12:32.144124,4.98%,377.1MiB,1.09%,504.8MiB,7.16%,1.028GiB,0.11%,35.61MiB,1.84%,547.4MiB,9.36%,581.1MiB
2023-11-04 14:12:34.508197,3.48%,377.1MiB,0.24%,504.9MiB,1.19%,1.028GiB,0.11%,35.61MiB,1.46%,547.4MiB,7.98%,581.8MiB
2023-11-04 14:12:36.411502,17.03%,377.4MiB,2.25%,505MiB,2.26%,1.028GiB,0.12%,35.61MiB,1.56%,547.5MiB,8.37%,582.1MiB
2023-11-04 14:12:38.490445,4.13%,377.3MiB,1.18%,505.2MiB,1.00%,1.028GiB,0.11%,35.61MiB,1.48%,547.5MiB,9.51%,583.1MiB
2023-11-04 14:12:40.641623,4.26%,377.3MiB,1.43%,504.7MiB,7.92%,1.028GiB,0.39%,35.61MiB,1.33%,547.5MiB,25.46%,583.7MiB
2023-11-04 14:12:42.847053,9.21%,377.1MiB,0.00%,504.8MiB,2.09%,1.028GiB,0.13%,35.62MiB,2.92%,547.5MiB,22.45%,589.9MiB
2023-11-04 14:12:45.094074,5.90%,377.1MiB,0.00%,505MiB,4.41%,1.028GiB,0.16%,35.62MiB,4.44%,547.6MiB,14.47%,591.2MiB
2023-11-04 14:12:47.307296,4.78%,377.3MiB,1.42%,504.9MiB,4.29%,1.028GiB,0.13%,35.62MiB,6.77%,547.6MiB,9.42%,592MiB
2023-11-04 14:12:49.442452,11.93%,377.2MiB,0.00%,504.9MiB,4.74%,1.028GiB,0.14%,35.62MiB,1.64%,547.6MiB,10.79%,592.1MiB
2023-11-04 14:12:51.680527,3.22%,377.5MiB,5.39%,505.2MiB,4.99%,1.029GiB,0.23%,35.62MiB,1.75%,547.6MiB,26.80%,623.4MiB
2023-11-04 14:12:53.796850,3.12%,377.7MiB,0.31%,505.4MiB,2.97%,1.029GiB,0.11%,35.62MiB,1.48%,547.6MiB,7.25%,621.8MiB
2023-11-04 14:12:55.901842,5.10%,377.2MiB,4.20%,505.2MiB,13.12%,1.029GiB,0.34%,35.62MiB,2.14%,547.7MiB,12.35%,620.5MiB
2023-11-04 14:12:58.045932,8.27%,377.3MiB,0.00%,505.2MiB,0.98%,1.029GiB,1.16%,35.62MiB,1.54%,547.7MiB,13.02%,622.1MiB
2023-11-04 14:13:00.128229,3.88%,377.3MiB,0.00%,505.4MiB,0.73%,1.029GiB,0.12%,35.62MiB,1.56%,547.7MiB,38.19%,635.5MiB
2023-11-04 14:13:02.353503,3.99%,377.3MiB,1.44%,505MiB,3.94%,1.029GiB,0.10%,35.62MiB,1.40%,547.7MiB,8.87%,634.9MiB
2023-11-04 14:13:04.526843,4.34%,377.3MiB,1.65%,505.4MiB,11.96%,1.029GiB,0.15%,35.62MiB,2.51%,547.7MiB,7.07%,634.7MiB
2023-11-04 14:13:06.646990,4.66%,377.3MiB,1.78%,505.1MiB,3.76%,1.029GiB,0.13%,35.62MiB,2.67%,548MiB,8.19%,634.7MiB
2023-11-04 14:13:08.792041,4.16%,377.3MiB,0.25%,505.3MiB,1.25%,1.029GiB,0.13%,35.62MiB,1.48%,547.8MiB,7.89%,635.3MiB
2023-11-04 14:13:10.860600,3.26%,377.3MiB,1.71%,505.6MiB,3.24%,1.029GiB,0.13%,35.63MiB,2.57%,548.1MiB,6.87%,635.1MiB
2023-11-04 14:13:12.958764,20.95%,377.6MiB,0.00%,505.6MiB,0.96%,1.029GiB,0.11%,35.63MiB,1.31%,547.8MiB,12.10%,635.8MiB
2023-11-04 14:13:15.098912,3.00%,377.4MiB,0.00%,505.8MiB,0.73%,1.029GiB,0.09%,35.63MiB,2.81%,547.8MiB,15.64%,605.2MiB
2023-11-04 14:13:17.271677,6.06%,377.9MiB,0.81%,505.6MiB,2.89%,1.028GiB,0.29%,35.63MiB,5.33%,546.4MiB,7.45%,605.2MiB
2023-11-04 14:13:19.333594,2.88%,377.4MiB,0.29%,505.6MiB,0.85%,1.028GiB,0.12%,35.63MiB,2.39%,546.4MiB,9.24%,606.5MiB
2023-11-04 14:13:21.497248,4.25%,377.4MiB,1.08%,505.9MiB,0.92%,1.028GiB,0.23%,35.63MiB,1.41%,546.4MiB,11.35%,606.7MiB
2023-11-04 14:13:23.579602,4.42%,377.4MiB,0.18%,505.3MiB,0.99%,1.028GiB,0.12%,35.63MiB,1.28%,546.4MiB,8.22%,629.9MiB
2023-11-04 14:13:25.935473,4.95%,377.7MiB,3.39%,505.7MiB,39.16%,1.029GiB,0.10%,35.63MiB,2.45%,546.5MiB,6.22%,630.2MiB
2023-11-04 14:13:27.943532,4.22%,377.4MiB,0.00%,505.9MiB,1.77%,1.029GiB,0.13%,35.64MiB,1.28%,546.5MiB,8.49%,630.1MiB
2023-11-04 14:13:30.199746,5.39%,377.4MiB,0.00%,505.2MiB,0.56%,1.029GiB,0.13%,35.64MiB,1.80%,546.5MiB,9.81%,630.1MiB
2023-11-04 14:13:32.213476,5.75%,377.4MiB,0.67%,505.7MiB,13.48%,1.029GiB,0.11%,35.64MiB,1.26%,546.5MiB,17.48%,615MiB
2023-11-04 14:13:34.351381,3.96%,377.4MiB,0.27%,505.5MiB,3.72%,1.029GiB,0.24%,35.64MiB,9.09%,546.9MiB,76.59%,630.4MiB
2023-11-04 14:13:36.499851,15.22%,378MiB,1.09%,505.5MiB,1.39%,1.029GiB,0.14%,35.64MiB,1.89%,546.9MiB,10.95%,635MiB
2023-11-04 14:13:38.826477,9.48%,377.7MiB,0.21%,505.7MiB,2.67%,1.029GiB,0.17%,35.64MiB,1.43%,549.5MiB,17.65%,631.9MiB
2023-11-04 14:13:41.027384,66.56%,377.6MiB,4.29%,505.1MiB,9.01%,1.029GiB,0.18%,35.64MiB,85.34%,586.7MiB,11.77%,628.5MiB
2023-11-04 14:13:43.147071,11.28%,377.6MiB,0.00%,505.1MiB,0.83%,1.029GiB,0.14%,35.64MiB,1.56%,591.5MiB,10.47%,628.3MiB
2023-11-04 14:13:45.311338,12.82%,377.6MiB,0.00%,505.3MiB,0.92%,1.029GiB,0.19%,35.64MiB,3.29%,583.1MiB,32.72%,628.4MiB
2023-11-04 14:13:47.408537,3.29%,377.6MiB,0.74%,505.9MiB,3.45%,1.029GiB,0.13%,35.64MiB,3.73%,583.1MiB,25.80%,611.3MiB
2023-11-04 14:13:49.507830,7.32%,377.6MiB,0.89%,505.2MiB,13.53%,1.029GiB,0.12%,35.64MiB,2.93%,572.6MiB,9.43%,611.4MiB
2023-11-04 14:13:51.576962,39.25%,377.9MiB,1.51%,505.4MiB,13.47%,1.029GiB,1.71%,35.65MiB,5.20%,572.9MiB,8.63%,614MiB
2023-11-04 14:13:53.657762,8.98%,377.7MiB,0.49%,505.6MiB,3.73%,1.029GiB,0.11%,35.65MiB,1.40%,572.7MiB,37.58%,620.4MiB
2023-11-04 14:13:55.713443,3.95%,377.7MiB,1.31%,505.2MiB,2.29%,1.029GiB,0.10%,35.65MiB,2.07%,572.7MiB,8.69%,620.4MiB
2023-11-04 14:13:57.909863,3.14%,378.5MiB,0.00%,505.3MiB,0.91%,1.029GiB,0.27%,35.65MiB,1.46%,572.7MiB,12.55%,620.5MiB
2023-11-04 14:14:00.022497,5.70%,377.7MiB,0.00%,505.5MiB,1.13%,1.029GiB,0.10%,35.65MiB,1.69%,572.7MiB,10.75%,620.5MiB
2023-11-04 14:14:02.137101,5.54%,377.7MiB,0.51%,505.8MiB,7.43%,1.029GiB,0.12%,35.65MiB,4.08%,572.8MiB,11.97%,621.3MiB
