time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-03 13:18:38.428272,7.36%,359.6MiB,2.32%,469.8MiB,6.09%,1022MiB,0.11%,34.09MiB,21.21%,475.5MiB,12.97%,585.7MiB
2023-11-03 13:18:40.550836,14.87%,359.9MiB,0.00%,469.8MiB,0.55%,1022MiB,0.23%,34.35MiB,4.40%,475.7MiB,21.19%,586.7MiB
2023-11-03 13:18:42.626984,6.50%,359.9MiB,0.00%,470MiB,0.98%,1022MiB,0.15%,34.1MiB,1.95%,476MiB,24.04%,585.6MiB
2023-11-03 13:18:44.748204,9.54%,359.9MiB,0.58%,469.6MiB,2.82%,1022MiB,0.16%,34.1MiB,3.09%,476MiB,13.11%,585.7MiB
2023-11-03 13:18:46.913025,7.01%,360.1MiB,0.18%,469.7MiB,0.59%,1022MiB,0.20%,34.1MiB,1.60%,476MiB,22.35%,587MiB
2023-11-03 13:18:49.092874,5.47%,360.3MiB,2.29%,469.4MiB,1.17%,1022MiB,0.12%,34.1MiB,1.72%,476.1MiB,9.06%,587.1MiB
2023-11-03 13:18:51.199049,13.21%,360.1MiB,0.45%,469.6MiB,1.36%,1022MiB,0.15%,34.1MiB,3.08%,473MiB,15.29%,587.3MiB
2023-11-03 13:18:53.359852,6.49%,360.6MiB,1.77%,469.9MiB,11.42%,1022MiB,0.21%,34.1MiB,3.87%,476.1MiB,15.66%,588.1MiB
2023-11-03 13:18:55.587653,7.86%,360.7MiB,0.00%,469.9MiB,0.63%,1022MiB,0.13%,34.1MiB,1.63%,476.4MiB,15.16%,588.2MiB
2023-11-03 13:18:57.752639,6.84%,360.5MiB,0.74%,470.3MiB,11.50%,1022MiB,0.14%,34.1MiB,1.76%,476.2MiB,20.30%,589.3MiB
2023-11-03 13:18:59.908601,9.82%,360.6MiB,0.74%,470MiB,81.45%,1022MiB,0.12%,34.11MiB,4.63%,479MiB,14.61%,589.2MiB
2023-11-03 13:19:02.121288,9.62%,360.6MiB,0.71%,470.2MiB,19.91%,1022MiB,0.14%,34.11MiB,4.63%,490.6MiB,14.64%,587.3MiB
2023-11-03 13:19:04.242376,5.65%,360.6MiB,1.20%,469.6MiB,1.54%,1022MiB,0.14%,34.11MiB,1.68%,490.6MiB,9.59%,588.2MiB
2023-11-03 13:19:06.352616,5.68%,360.9MiB,0.27%,469.7MiB,1.37%,1022MiB,0.15%,34.11MiB,2.41%,490.6MiB,13.50%,588.4MiB
2023-11-03 13:19:08.462480,4.50%,360.8MiB,2.97%,469.5MiB,22.68%,1022MiB,0.13%,34.11MiB,3.50%,490.6MiB,8.10%,589.9MiB
2023-11-03 13:19:10.616710,5.29%,360.8MiB,0.00%,469.5MiB,0.53%,1022MiB,0.25%,34.11MiB,7.39%,490.6MiB,14.61%,591.1MiB
2023-11-03 13:19:12.862656,6.80%,360.9MiB,0.00%,469.7MiB,0.96%,1022MiB,0.13%,34.11MiB,1.85%,491.2MiB,8.75%,591MiB
2023-11-03 13:19:15.003418,7.52%,361.4MiB,0.71%,469.9MiB,3.00%,1022MiB,0.14%,34.11MiB,11.32%,491.3MiB,17.04%,592MiB
2023-11-03 13:19:17.157733,4.16%,361MiB,1.10%,470.1MiB,5.58%,1022MiB,0.23%,34.12MiB,2.43%,491.3MiB,12.44%,592.4MiB
2023-11-03 13:19:19.259120,13.71%,361MiB,0.32%,469.7MiB,1.45%,1022MiB,0.12%,34.12MiB,1.63%,491.3MiB,8.61%,592.8MiB
2023-11-03 13:19:21.502637,7.25%,361.1MiB,0.20%,469.9MiB,1.42%,1022MiB,0.19%,34.12MiB,3.35%,491.6MiB,11.21%,594MiB
2023-11-03 13:19:23.662779,14.66%,361.1MiB,2.52%,470.2MiB,4.71%,1022MiB,0.26%,34.12MiB,7.99%,491.4MiB,17.88%,595.1MiB
2023-11-03 13:19:25.827819,5.97%,361.5MiB,0.00%,470.2MiB,0.78%,1022MiB,0.17%,34.12MiB,1.61%,491.4MiB,9.94%,595.1MiB
2023-11-03 13:19:27.904770,6.59%,361.5MiB,0.57%,470.2MiB,7.25%,1022MiB,0.13%,34.12MiB,1.65%,491.4MiB,12.20%,595.7MiB
2023-11-03 13:19:30.004908,4.70%,361.2MiB,1.02%,469.9MiB,4.50%,1022MiB,0.13%,34.12MiB,8.73%,491.5MiB,17.87%,596.6MiB
2023-11-03 13:19:32.195473,4.95%,361.3MiB,0.65%,470.2MiB,9.34%,1022MiB,0.12%,34.12MiB,3.31%,490MiB,8.32%,597MiB
2023-11-03 13:19:34.286725,6.00%,361.3MiB,0.24%,470.4MiB,0.98%,1022MiB,0.25%,34.12MiB,1.72%,490.1MiB,16.53%,597MiB
2023-11-03 13:19:36.468513,11.70%,361.3MiB,0.27%,470MiB,3.92%,1023MiB,0.12%,34.12MiB,1.58%,490.1MiB,14.55%,597.8MiB
2023-11-03 13:19:38.571044,6.59%,361.3MiB,4.67%,470.3MiB,4.02%,1023MiB,0.18%,34.12MiB,2.73%,490.1MiB,16.23%,598.5MiB
2023-11-03 13:19:40.710138,6.30%,361.6MiB,0.00%,470.3MiB,0.57%,1023MiB,0.23%,34.12MiB,6.95%,489.7MiB,20.34%,603MiB
2023-11-03 13:19:42.769309,8.30%,361.9MiB,0.00%,469.7MiB,1.34%,1023MiB,0.12%,34.12MiB,1.97%,489.8MiB,16.41%,607.1MiB
2023-11-03 13:19:44.954524,11.43%,361.4MiB,0.65%,469.9MiB,2.21%,1023MiB,0.14%,34.12MiB,3.65%,489.8MiB,9.51%,607.7MiB
2023-11-03 13:19:47.119031,23.72%,361.4MiB,0.51%,470.1MiB,20.22%,1023MiB,0.21%,34.13MiB,1.61%,489.8MiB,39.64%,610.9MiB
2023-11-03 13:19:49.274815,5.99%,361.5MiB,0.21%,469.7MiB,1.44%,1023MiB,0.14%,34.13MiB,1.77%,489.9MiB,24.61%,611.6MiB
2023-11-03 13:19:51.416199,6.44%,361.5MiB,0.35%,469.8MiB,1.38%,1023MiB,0.12%,34.13MiB,3.93%,489.9MiB,13.68%,612.4MiB
2023-11-03 13:19:53.599981,7.65%,361.7MiB,2.01%,470.1MiB,11.72%,1023MiB,0.20%,34.13MiB,2.78%,489.9MiB,19.62%,612.8MiB
2023-11-03 13:19:55.745529,5.13%,361.5MiB,0.00%,470.1MiB,10.12%,1023MiB,0.14%,34.13MiB,1.56%,489.9MiB,9.82%,613.7MiB
2023-11-03 13:19:57.917780,21.24%,365.2MiB,2.20%,469.7MiB,13.07%,1023MiB,0.12%,34.13MiB,1.59%,489.9MiB,9.10%,614.3MiB
2023-11-03 13:20:00.117304,29.33%,365.1MiB,0.21%,470.2MiB,1.00%,1023MiB,0.15%,34.13MiB,6.32%,489.9MiB,14.43%,614.8MiB
2023-11-03 13:20:02.294413,4.05%,361.6MiB,0.32%,470.4MiB,2.19%,1023MiB,0.12%,34.13MiB,5.63%,490MiB,9.96%,612.5MiB
2023-11-03 13:20:04.499082,4.53%,361.9MiB,0.00%,469.8MiB,6.36%,1023MiB,0.17%,34.14MiB,1.78%,490MiB,18.02%,613.3MiB
2023-11-03 13:20:06.574208,40.46%,361.9MiB,1.23%,469.9MiB,15.79%,1023MiB,0.16%,34.14MiB,2.81%,490MiB,9.80%,614.1MiB
2023-11-03 13:20:08.699682,5.97%,361.7MiB,5.00%,469.9MiB,3.40%,1023MiB,0.21%,34.14MiB,4.85%,490MiB,9.71%,614.8MiB
2023-11-03 13:20:10.963737,5.73%,361.7MiB,0.29%,469.7MiB,1.14%,1023MiB,0.21%,34.14MiB,52.51%,503.6MiB,59.84%,625.5MiB
2023-11-03 13:20:13.073283,3.94%,361.7MiB,0.00%,469.8MiB,1.16%,1023MiB,0.14%,34.14MiB,1.47%,503.7MiB,45.41%,644.1MiB
2023-11-03 13:20:15.240359,5.27%,361.7MiB,0.41%,470.1MiB,1.00%,1023MiB,0.14%,34.14MiB,2.59%,503.7MiB,93.61%,647.1MiB
2023-11-03 13:20:17.511065,4.76%,361.7MiB,0.47%,470.2MiB,1.74%,1023MiB,0.17%,34.14MiB,2.44%,503.7MiB,14.12%,647.8MiB
2023-11-03 13:20:19.606436,6.11%,361.7MiB,0.00%,469.9MiB,0.73%,1023MiB,0.14%,34.14MiB,1.51%,503.7MiB,8.35%,648.9MiB
2023-11-03 13:20:21.819463,6.07%,361.7MiB,0.25%,470.1MiB,0.93%,1023MiB,0.15%,34.14MiB,16.19%,501.7MiB,22.80%,641.4MiB
2023-11-03 13:20:23.828111,3.76%,361.7MiB,3.33%,470.3MiB,3.41%,1023MiB,0.12%,34.15MiB,9.04%,501.7MiB,11.62%,642MiB
2023-11-03 13:20:26.011282,4.51%,361.7MiB,0.21%,470.4MiB,0.88%,1023MiB,0.13%,34.15MiB,1.68%,501.7MiB,7.22%,642.7MiB
