time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-10-30 11:07:42.940214,0.77%,359.1MiB,0.02%,627.9MiB,0.95%,1012MiB,0.14%,37.42MiB,1.74%,261.3MiB,2.99%,348.3MiB
2023-10-30 11:07:45.160790,0.86%,359.1MiB,1.07%,627.9MiB,1.33%,1012MiB,0.15%,37.42MiB,1.58%,261.3MiB,1.60%,348.1MiB
2023-10-30 11:07:47.315430,3.03%,359.1MiB,0.59%,627.9MiB,8.21%,1012MiB,0.14%,37.42MiB,1.66%,261.3MiB,1.94%,348.1MiB
2023-10-30 11:07:49.474031,1.82%,359.1MiB,8.33%,627.9MiB,19.15%,1012MiB,0.12%,37.43MiB,1.47%,261.3MiB,1.70%,348.1MiB
2023-10-30 11:07:51.714713,0.83%,359.1MiB,0.17%,627.9MiB,1.45%,1012MiB,0.16%,37.43MiB,1.49%,261.3MiB,1.64%,348.1MiB
2023-10-30 11:07:53.950815,0.79%,359.1MiB,0.33%,627.9MiB,2.92%,1012MiB,0.16%,37.43MiB,1.57%,281.5MiB,1.89%,348.1MiB
2023-10-30 11:07:56.191383,0.87%,359.1MiB,0.40%,627.9MiB,8.06%,1012MiB,0.12%,37.43MiB,5.54%,281.5MiB,4.62%,348.1MiB
2023-10-30 11:07:58.315665,0.96%,359.1MiB,0.34%,627.9MiB,5.29%,1012MiB,0.12%,37.43MiB,1.88%,281.5MiB,1.94%,348.1MiB
2023-10-30 11:08:00.534139,3.33%,359.1MiB,0.00%,627.9MiB,0.87%,1013MiB,2.87%,37.43MiB,1.60%,281.5MiB,1.82%,348.1MiB
2023-10-30 11:08:02.726633,1.96%,359.2MiB,0.00%,627.9MiB,97.69%,1016MiB,0.15%,37.43MiB,1.52%,281.4MiB,3.91%,348.1MiB
2023-10-30 11:08:04.862616,1.60%,359.2MiB,1.65%,627.9MiB,44.23%,1016MiB,0.14%,37.43MiB,1.93%,281.3MiB,1.82%,348.1MiB
2023-10-30 11:08:07.028391,1.09%,359.2MiB,0.31%,627.9MiB,1.25%,1020MiB,0.15%,37.44MiB,5.10%,281.3MiB,5.09%,348.2MiB
2023-10-30 11:08:09.176156,0.98%,359.2MiB,1.96%,627.9MiB,3.10%,1021MiB,0.14%,37.44MiB,1.74%,283MiB,1.83%,348.2MiB
2023-10-30 11:08:11.415876,0.89%,359.2MiB,0.40%,627.9MiB,9.89%,1021MiB,0.14%,37.44MiB,2.00%,283MiB,3.35%,348.2MiB
2023-10-30 11:08:13.573050,0.76%,359.2MiB,10.04%,593.7MiB,10.54%,1021MiB,0.12%,37.44MiB,1.80%,283MiB,2.29%,348.2MiB
2023-10-30 11:08:15.746678,0.81%,359.2MiB,0.00%,593.7MiB,0.84%,1021MiB,0.14%,37.44MiB,1.56%,283MiB,1.92%,348.2MiB
2023-10-30 11:08:17.949900,3.22%,359.4MiB,0.63%,593.7MiB,6.37%,1021MiB,0.20%,37.44MiB,1.78%,283MiB,2.43%,348.2MiB
2023-10-30 11:08:20.157910,1.78%,359.2MiB,0.77%,593.7MiB,9.44%,1021MiB,0.15%,37.44MiB,1.77%,283MiB,1.97%,348.2MiB
2023-10-30 11:08:22.412208,0.87%,359.2MiB,0.63%,593.7MiB,4.99%,1021MiB,0.17%,37.44MiB,1.67%,283MiB,3.04%,348.2MiB
2023-10-30 11:08:24.693556,1.10%,359.2MiB,1.70%,593.7MiB,4.84%,1021MiB,0.20%,37.45MiB,4.72%,283MiB,1.88%,348.2MiB
2023-10-30 11:08:26.913922,1.01%,359.2MiB,0.21%,593.7MiB,1.33%,1021MiB,0.14%,37.45MiB,6.36%,283.5MiB,5.55%,349.7MiB
2023-10-30 11:08:29.039359,5.23%,359.2MiB,4.46%,590.5MiB,4.65%,1021MiB,0.15%,37.45MiB,1.89%,283.1MiB,1.85%,349.7MiB
2023-10-30 11:08:31.213130,0.72%,359.2MiB,0.00%,590.4MiB,0.62%,1021MiB,0.12%,37.45MiB,1.64%,283.1MiB,1.93%,349.7MiB
2023-10-30 11:08:33.393843,1.37%,359.3MiB,0.00%,590.6MiB,0.62%,1022MiB,0.15%,37.45MiB,10.10%,290.3MiB,1.75%,349.7MiB
2023-10-30 11:08:35.623902,0.93%,359.3MiB,0.27%,590MiB,13.49%,1022MiB,0.16%,37.45MiB,1.58%,290.3MiB,1.81%,349.7MiB
2023-10-30 11:08:37.779238,1.24%,359.3MiB,0.93%,590.2MiB,7.45%,1022MiB,0.12%,37.45MiB,1.76%,288.4MiB,1.82%,349.8MiB
2023-10-30 11:08:39.968796,1.30%,359.3MiB,2.11%,542.4MiB,4.64%,1022MiB,0.14%,37.45MiB,1.97%,288.4MiB,2.02%,349.8MiB
2023-10-30 11:08:42.137441,1.23%,359.3MiB,0.30%,542.6MiB,1.64%,1022MiB,1.77%,37.46MiB,1.84%,288.4MiB,2.07%,349.8MiB
2023-10-30 11:08:44.455921,2.24%,359.3MiB,4.07%,542.9MiB,5.79%,1022MiB,0.12%,36.82MiB,1.85%,288.4MiB,2.07%,349.8MiB
2023-10-30 11:08:46.751038,1.24%,359.3MiB,1.36%,542.3MiB,16.91%,1022MiB,0.14%,36.82MiB,3.83%,288.4MiB,3.38%,349.8MiB
2023-10-30 11:08:48.854440,0.91%,359.3MiB,36.00%,510.4MiB,1.03%,1022MiB,0.49%,36.82MiB,6.43%,288.6MiB,2.03%,349.8MiB
