time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 12:53:21.174041,9.46%,367MiB,0.96%,505.5MiB,5.43%,992.7MiB,0.17%,34.97MiB,2.36%,456.6MiB,24.10%,583.2MiB
2023-11-02 12:53:23.443981,11.73%,367.1MiB,0.80%,505.3MiB,11.45%,992.8MiB,0.22%,34.97MiB,1.69%,456.6MiB,15.95%,583.8MiB
2023-11-02 12:53:25.564845,11.45%,367.5MiB,0.43%,505.4MiB,1.86%,992.8MiB,0.14%,34.97MiB,2.25%,456.6MiB,14.14%,584.5MiB
2023-11-02 12:53:27.741057,16.90%,367.8MiB,1.04%,505.7MiB,2.35%,992.9MiB,0.15%,34.97MiB,1.60%,456.6MiB,22.95%,587.2MiB
2023-11-02 12:53:29.927206,11.78%,368MiB,0.34%,505.9MiB,2.82%,992.9MiB,0.15%,34.97MiB,5.36%,456.6MiB,14.02%,587.1MiB
2023-11-02 12:53:32.140763,18.26%,368MiB,3.13%,505.8MiB,6.24%,993MiB,0.10%,34.97MiB,1.76%,456.6MiB,18.01%,584.4MiB
2023-11-02 12:53:34.299294,10.01%,368.3MiB,0.00%,505.8MiB,4.62%,993.1MiB,0.14%,34.97MiB,4.82%,456.7MiB,12.53%,584.9MiB
2023-11-02 12:53:36.497724,12.44%,368.1MiB,106.30%,481.9MiB,0.78%,993.8MiB,0.17%,34.98MiB,1.81%,456.7MiB,17.56%,584.8MiB
2023-11-02 12:53:38.714131,12.83%,368.4MiB,0.53%,482.2MiB,10.10%,994.3MiB,0.13%,34.98MiB,1.47%,456.7MiB,21.03%,591MiB
2023-11-02 12:53:40.890543,12.16%,371.5MiB,0.66%,482.4MiB,13.50%,994.3MiB,0.20%,34.98MiB,1.78%,456.7MiB,15.55%,591.5MiB
2023-11-02 12:53:43.110406,6.37%,371.5MiB,1.31%,482MiB,1.13%,994.3MiB,0.14%,34.98MiB,1.64%,456.7MiB,16.67%,591.6MiB
2023-11-02 12:53:45.426403,7.85%,371.5MiB,0.37%,482.2MiB,2.06%,994.7MiB,0.13%,34.98MiB,1.57%,456.8MiB,9.99%,588.6MiB
2023-11-02 12:53:47.601455,6.62%,371.5MiB,2.87%,482.5MiB,5.60%,994.7MiB,0.11%,34.98MiB,1.76%,456.8MiB,15.58%,589.9MiB
2023-11-02 12:53:49.793255,31.25%,372.1MiB,1.08%,482.7MiB,5.36%,994.8MiB,0.12%,34.98MiB,7.74%,454.6MiB,12.42%,590.4MiB
2023-11-02 12:53:51.981320,14.10%,371.9MiB,0.00%,482.1MiB,1.11%,994.8MiB,0.12%,34.98MiB,1.56%,454.4MiB,9.23%,590.3MiB
2023-11-02 12:53:54.169691,34.99%,390.4MiB,0.00%,482.7MiB,1.11%,994.9MiB,0.15%,34.98MiB,5.07%,452MiB,18.88%,590.6MiB
2023-11-02 12:53:56.348153,12.49%,390.5MiB,1.77%,482.3MiB,48.09%,994.9MiB,0.15%,34.98MiB,1.99%,452.3MiB,7.28%,590.9MiB
2023-11-02 12:53:58.539581,8.14%,390.5MiB,0.36%,482.4MiB,1.00%,995MiB,0.22%,34.99MiB,1.47%,452.3MiB,21.93%,591MiB
2023-11-02 12:54:00.884816,8.66%,390.5MiB,0.00%,482.6MiB,1.00%,995.1MiB,0.13%,34.99MiB,3.34%,452.3MiB,26.86%,590.9MiB
2023-11-02 12:54:03.015733,8.36%,377.6MiB,0.46%,482.4MiB,3.68%,995.1MiB,0.15%,34.99MiB,1.98%,452.3MiB,20.47%,589.8MiB
2023-11-02 12:54:05.317197,99.97%,377.8MiB,0.98%,482.7MiB,8.53%,995.2MiB,0.23%,34.99MiB,2.14%,452.6MiB,11.42%,589.9MiB
