time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-04 10:34:59.805367,16.22%,344.8MiB,4.73%,453.9MiB,39.08%,1.06GiB,0.12%,35MiB,5.10%,425.3MiB,18.08%,578.8MiB
2023-11-04 10:35:01.923159,8.35%,344.8MiB,0.00%,453.9MiB,0.76%,1.06GiB,0.11%,35MiB,1.82%,425.3MiB,21.50%,569.4MiB
2023-11-04 10:35:04.180059,15.62%,344.9MiB,1.11%,453.8MiB,2.83%,1.06GiB,0.14%,35.01MiB,7.56%,425.3MiB,22.70%,569.8MiB
2023-11-04 10:35:06.299574,8.49%,345.1MiB,1.04%,454MiB,8.92%,1.06GiB,0.11%,35.01MiB,3.71%,422.1MiB,12.94%,571.4MiB
2023-11-04 10:35:08.464110,10.59%,345.7MiB,0.87%,454.1MiB,1.92%,1.06GiB,0.12%,35.01MiB,1.78%,422.1MiB,12.53%,571.4MiB
2023-11-04 10:35:10.611960,7.94%,345.6MiB,0.69%,454.3MiB,1.26%,1.06GiB,0.13%,35.01MiB,2.03%,422.5MiB,14.81%,572MiB
2023-11-04 10:35:12.738527,12.69%,346MiB,0.28%,454MiB,0.66%,1.061GiB,0.16%,35.01MiB,2.66%,422.6MiB,17.81%,572.4MiB
2023-11-04 10:35:14.813358,10.76%,345.8MiB,1.38%,454.6MiB,10.65%,1.061GiB,0.18%,35.01MiB,4.39%,422.6MiB,17.34%,571.4MiB
2023-11-04 10:35:16.991227,14.07%,345.9MiB,0.00%,454.4MiB,1.24%,1.061GiB,0.13%,35.01MiB,1.80%,422.6MiB,38.68%,577.4MiB
2023-11-04 10:35:19.152006,8.86%,346.1MiB,0.00%,453.9MiB,0.56%,1.061GiB,0.16%,35.01MiB,2.81%,422.7MiB,13.56%,577.3MiB
2023-11-04 10:35:21.285041,7.99%,346.1MiB,0.85%,454.2MiB,3.99%,1.061GiB,0.23%,35.02MiB,3.14%,422.9MiB,16.75%,577.8MiB
2023-11-04 10:35:23.341653,7.03%,346.7MiB,4.12%,454.7MiB,11.51%,1.061GiB,0.18%,35.02MiB,2.00%,423.8MiB,16.00%,578.7MiB
2023-11-04 10:35:25.528541,5.77%,347.2MiB,0.65%,454.3MiB,2.84%,1.061GiB,0.13%,35.02MiB,7.46%,423.9MiB,17.96%,579.1MiB
2023-11-04 10:35:27.606638,9.28%,347MiB,0.00%,454.4MiB,21.73%,1.061GiB,0.25%,35.02MiB,3.61%,423.9MiB,12.18%,579.2MiB
2023-11-04 10:35:29.800190,15.71%,347MiB,1.34%,455MiB,5.82%,1.061GiB,0.14%,35.02MiB,1.79%,423.9MiB,13.43%,579.7MiB
