time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 11:18:01.637114,9.32%,362.6MiB,69.09%,580.6MiB,48.59%,1.047GiB,0.13%,35.48MiB,1.58%,470.6MiB,14.39%,608.1MiB
2023-11-02 11:18:03.749977,10.69%,362.8MiB,84.80%,516.5MiB,0.80%,1.047GiB,0.12%,35.48MiB,4.95%,471MiB,12.80%,608.4MiB
2023-11-02 11:18:05.888766,9.25%,362.6MiB,0.30%,516.7MiB,1.22%,1.048GiB,0.19%,35.48MiB,6.41%,472.6MiB,14.28%,609.5MiB
2023-11-02 11:18:07.963588,8.68%,363.2MiB,2.97%,517.3MiB,11.79%,1.048GiB,0.13%,35.48MiB,1.91%,472.7MiB,15.94%,609.3MiB
2023-11-02 11:18:10.248682,10.11%,363.2MiB,3.09%,516.7MiB,2.33%,1.048GiB,0.14%,35.48MiB,5.44%,472.9MiB,20.56%,606.6MiB
2023-11-02 11:18:12.404447,10.19%,363.3MiB,0.00%,516.7MiB,0.82%,1.048GiB,0.14%,35.48MiB,5.85%,473MiB,15.56%,606.9MiB
2023-11-02 11:18:14.477131,26.84%,363.5MiB,0.00%,517MiB,0.57%,1.049GiB,0.12%,35.48MiB,1.73%,473.1MiB,12.87%,607.3MiB
2023-11-02 11:18:16.666561,6.72%,363.8MiB,1.19%,517.2MiB,13.16%,1.049GiB,0.13%,35.48MiB,1.96%,473.2MiB,37.82%,611.3MiB
2023-11-02 11:18:18.863917,10.18%,363.6MiB,0.00%,516.8MiB,0.47%,1.049GiB,0.12%,35.49MiB,2.88%,473.3MiB,14.29%,611.4MiB
2023-11-02 11:18:21.063426,12.91%,364MiB,0.64%,517.1MiB,0.88%,1.049GiB,0.13%,35.49MiB,1.75%,471.1MiB,15.27%,612.3MiB
2023-11-02 11:18:23.358416,5.83%,364.4MiB,1.45%,517.3MiB,24.24%,1.051GiB,0.14%,35.49MiB,1.84%,471.3MiB,13.41%,612MiB
2023-11-02 11:18:25.527283,11.58%,364.4MiB,1.39%,517.5MiB,14.62%,1.051GiB,0.20%,35.49MiB,1.82%,471.4MiB,10.27%,612.2MiB
2023-11-02 11:18:27.696383,9.42%,364.5MiB,2.93%,517.4MiB,2.86%,1.051GiB,0.17%,35.49MiB,3.77%,471.4MiB,9.82%,613MiB
2023-11-02 11:18:29.922410,21.75%,364.5MiB,0.00%,517.6MiB,0.48%,1.051GiB,0.27%,35.49MiB,4.43%,467.9MiB,21.04%,607.3MiB
2023-11-02 11:18:32.122234,8.87%,364.6MiB,1.36%,517.1MiB,9.28%,1.051GiB,0.14%,35.49MiB,5.97%,468.4MiB,14.54%,607.5MiB
2023-11-02 11:18:34.333270,38.65%,379.2MiB,0.80%,517.4MiB,6.24%,1.051GiB,0.14%,35.49MiB,3.70%,468.2MiB,24.53%,608.2MiB
2023-11-02 11:18:36.549879,5.48%,379.2MiB,0.00%,517.4MiB,2.01%,1.051GiB,0.13%,35.5MiB,8.10%,468.8MiB,25.25%,608.7MiB
2023-11-02 11:18:38.704930,11.02%,368.1MiB,0.00%,517.3MiB,0.59%,1.051GiB,0.12%,35.5MiB,1.47%,468.8MiB,17.92%,609.1MiB
2023-11-02 11:18:40.885536,10.06%,368.4MiB,0.95%,517.5MiB,30.07%,1.051GiB,0.14%,35.5MiB,1.77%,469.1MiB,12.18%,606MiB
2023-11-02 11:18:43.043709,5.18%,368.2MiB,0.75%,517.6MiB,1.50%,1.051GiB,0.15%,35.5MiB,3.27%,469.3MiB,9.44%,592.2MiB
2023-11-02 11:18:45.357816,20.91%,368.2MiB,0.30%,517.8MiB,1.10%,1.051GiB,0.16%,35.5MiB,2.26%,469.3MiB,20.04%,592.4MiB
2023-11-02 11:18:47.682931,41.42%,368.8MiB,1.40%,517.7MiB,2.58%,1.052GiB,0.20%,35.51MiB,1.73%,469.4MiB,14.44%,595MiB
2023-11-02 11:18:49.745459,8.55%,368.6MiB,1.22%,517.9MiB,3.35%,1.051GiB,0.11%,35.51MiB,4.27%,469.7MiB,10.60%,595.1MiB
2023-11-02 11:18:52.140445,7.91%,368.6MiB,0.00%,517.9MiB,6.82%,1.051GiB,0.12%,35.51MiB,9.90%,471MiB,12.82%,595MiB
2023-11-02 11:18:54.161052,7.90%,368.6MiB,0.00%,517.5MiB,0.65%,1.051GiB,0.19%,35.51MiB,1.78%,471MiB,11.18%,594.9MiB
2023-11-02 11:18:56.396027,9.53%,368.6MiB,0.98%,518MiB,17.36%,1.051GiB,0.12%,35.51MiB,11.54%,475.1MiB,14.43%,595.3MiB
2023-11-02 11:18:58.568083,5.28%,368.6MiB,3.45%,517.6MiB,7.60%,1.052GiB,0.18%,35.51MiB,1.79%,477.9MiB,9.17%,595.6MiB
2023-11-02 11:19:00.728520,11.47%,368.8MiB,0.28%,517.7MiB,1.17%,1.052GiB,0.28%,35.51MiB,6.08%,478.2MiB,13.67%,596MiB
2023-11-02 11:19:03.064044,5.47%,368.8MiB,1.62%,518.3MiB,2.50%,1.052GiB,0.13%,35.51MiB,4.52%,478.3MiB,16.97%,596.7MiB
2023-11-02 11:19:05.281412,7.57%,368.9MiB,2.14%,517.4MiB,18.69%,1.052GiB,0.13%,35.52MiB,6.12%,473.8MiB,9.22%,597.3MiB
2023-11-02 11:19:07.521105,4.91%,368.9MiB,0.70%,517.6MiB,3.51%,1.052GiB,0.15%,35.52MiB,3.80%,473.9MiB,9.37%,598MiB
2023-11-02 11:19:09.724363,5.48%,368.9MiB,0.00%,518MiB,0.68%,1.052GiB,0.13%,35.52MiB,4.89%,474.8MiB,11.95%,597.2MiB
2023-11-02 11:19:11.969039,5.81%,369.2MiB,0.00%,517.4MiB,0.93%,1.052GiB,0.21%,35.52MiB,12.12%,474.3MiB,10.44%,598.1MiB
2023-11-02 11:19:14.264437,8.91%,369MiB,0.70%,517.7MiB,17.15%,1.052GiB,0.12%,35.52MiB,1.78%,474.4MiB,6.92%,598.5MiB
2023-11-02 11:19:16.338970,8.60%,369.3MiB,0.79%,517.8MiB,4.18%,1.052GiB,0.13%,35.52MiB,5.40%,474.5MiB,17.33%,599.4MiB
2023-11-02 11:19:18.547380,6.52%,369.3MiB,1.66%,517.4MiB,2.10%,1.052GiB,0.12%,35.52MiB,3.42%,474.8MiB,32.44%,606.7MiB
2023-11-02 11:19:20.717434,8.58%,369.1MiB,0.22%,517.6MiB,1.13%,1.052GiB,0.13%,35.52MiB,3.60%,474.7MiB,47.58%,608.4MiB
2023-11-02 11:19:22.927260,12.44%,369.1MiB,1.67%,518.2MiB,6.54%,1.052GiB,0.15%,35.52MiB,3.80%,474.9MiB,35.72%,609.2MiB
2023-11-02 11:19:25.147412,6.38%,369.2MiB,0.30%,518MiB,2.69%,1.052GiB,0.13%,35.53MiB,15.69%,478.1MiB,7.56%,610.1MiB
2023-11-02 11:19:27.337415,4.04%,369.3MiB,1.17%,517.5MiB,5.63%,1.052GiB,0.15%,35.53MiB,1.68%,478.1MiB,13.52%,607.8MiB
2023-11-02 11:19:29.526846,5.79%,369.3MiB,0.00%,518.1MiB,1.68%,1.052GiB,0.23%,35.53MiB,2.15%,478.2MiB,14.41%,608MiB
2023-11-02 11:19:31.696472,7.93%,369.6MiB,1.20%,517.4MiB,5.78%,1.052GiB,0.12%,35.54MiB,1.91%,478.4MiB,11.79%,608.7MiB
2023-11-02 11:19:34.057884,13.78%,369.4MiB,0.00%,517.6MiB,1.04%,1.052GiB,0.11%,35.54MiB,4.33%,478.6MiB,7.92%,614.4MiB
2023-11-02 11:19:36.237314,32.83%,371.1MiB,0.00%,517.8MiB,0.60%,1.052GiB,0.18%,35.54MiB,1.77%,478.6MiB,9.43%,615.3MiB
2023-11-02 11:19:38.431208,4.98%,371.4MiB,2.38%,517.6MiB,2.74%,1.052GiB,0.15%,35.54MiB,2.41%,478.7MiB,12.48%,616MiB
