time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 10:28:50.850766,10.45%,353.6MiB,1.08%,607MiB,8.44%,1023MiB,0.13%,36.02MiB,1.71%,520.3MiB,13.97%,546MiB
2023-11-02 10:28:53.028977,11.51%,353.7MiB,66.26%,569.2MiB,6.01%,1023MiB,0.13%,36.02MiB,1.76%,520.3MiB,10.91%,546.1MiB
2023-11-02 10:28:55.240939,12.58%,353.7MiB,106.76%,517.8MiB,1.59%,1023MiB,0.15%,36.02MiB,11.72%,522.1MiB,50.57%,549.7MiB
2023-11-02 10:28:57.450119,9.78%,353.8MiB,0.00%,518.1MiB,16.46%,1024MiB,0.13%,36.02MiB,1.89%,522.1MiB,27.35%,550.2MiB
2023-11-02 10:28:59.708630,7.33%,354MiB,0.73%,518.4MiB,13.15%,1024MiB,0.13%,36.02MiB,1.80%,522.3MiB,12.44%,549.9MiB
2023-11-02 10:29:01.950857,10.29%,354MiB,2.97%,518.1MiB,18.87%,1024MiB,0.25%,36.02MiB,1.88%,522.3MiB,15.41%,549.9MiB
2023-11-02 10:29:03.946858,10.58%,354.1MiB,1.25%,518.4MiB,2.23%,1024MiB,0.15%,36.02MiB,1.61%,522.3MiB,11.80%,550.1MiB
2023-11-02 10:29:06.135647,15.90%,354.1MiB,0.25%,518.6MiB,3.15%,1GiB,0.13%,36.02MiB,1.68%,522.4MiB,11.50%,550.2MiB
2023-11-02 10:29:08.315900,8.92%,354.1MiB,4.05%,518.2MiB,28.07%,1GiB,0.24%,36.02MiB,1.85%,522.3MiB,20.54%,550.4MiB
2023-11-02 10:29:10.568989,57.54%,356.4MiB,0.00%,518.2MiB,0.91%,1GiB,0.15%,36.02MiB,1.80%,522.3MiB,29.53%,550.6MiB
2023-11-02 10:29:12.766502,9.68%,367.9MiB,0.00%,518.8MiB,1.42%,1GiB,0.15%,36.02MiB,1.65%,522.3MiB,16.25%,551MiB
2023-11-02 10:29:15.093660,5.06%,367.7MiB,1.04%,518.3MiB,2.40%,1GiB,0.13%,36.03MiB,32.26%,535.3MiB,17.44%,551.4MiB
2023-11-02 10:29:17.193309,19.90%,354.5MiB,0.63%,518.5MiB,4.70%,1GiB,0.13%,36.03MiB,1.47%,535.3MiB,12.32%,551.3MiB
2023-11-02 10:29:19.382810,8.18%,354.5MiB,0.19%,518.7MiB,0.74%,1GiB,0.12%,36.03MiB,3.57%,535.3MiB,14.10%,551.4MiB
2023-11-02 10:29:21.835206,13.86%,354.5MiB,1.25%,518.4MiB,3.86%,1GiB,0.11%,36.03MiB,1.67%,535.2MiB,9.94%,551.2MiB
2023-11-02 10:29:23.975359,35.86%,355.8MiB,5.84%,518.7MiB,6.28%,1GiB,0.14%,36.03MiB,1.46%,535.2MiB,11.45%,551.6MiB
2023-11-02 10:29:26.207831,8.38%,356MiB,1.18%,518.9MiB,4.47%,1GiB,0.21%,36.03MiB,1.95%,535.2MiB,10.70%,552.6MiB
2023-11-02 10:29:28.428719,3.84%,356MiB,0.99%,519.1MiB,1.82%,1GiB,0.13%,36.03MiB,15.33%,539.3MiB,8.81%,553MiB
2023-11-02 10:29:30.597204,5.38%,356MiB,0.00%,519.2MiB,1.01%,1GiB,0.16%,36.03MiB,1.71%,539.4MiB,7.95%,553.6MiB
2023-11-02 10:29:32.853026,5.02%,356.2MiB,1.10%,519.2MiB,6.02%,1GiB,0.13%,36.04MiB,1.74%,539.4MiB,7.74%,554.2MiB
2023-11-02 10:29:35.069327,6.39%,356.2MiB,0.00%,518.6MiB,0.93%,1GiB,0.17%,36.04MiB,3.71%,539.4MiB,13.21%,554.8MiB
2023-11-02 10:29:37.246353,17.16%,356.1MiB,0.35%,518.9MiB,2.56%,1.001GiB,0.12%,36.04MiB,2.12%,539.4MiB,20.71%,555.1MiB
2023-11-02 10:29:39.455797,9.63%,356.2MiB,0.30%,519.2MiB,0.69%,1.001GiB,0.14%,36.04MiB,4.58%,539.4MiB,19.31%,556.2MiB
2023-11-02 10:29:41.682230,10.88%,356.3MiB,2.31%,518.9MiB,32.86%,1.001GiB,0.14%,36.04MiB,2.11%,539.5MiB,12.46%,557.1MiB
2023-11-02 10:29:43.763202,4.83%,356.3MiB,1.04%,519.1MiB,1.53%,1.001GiB,0.20%,36.04MiB,3.02%,539.5MiB,9.30%,557.1MiB
2023-11-02 10:29:46.000121,6.98%,356.3MiB,0.36%,519.3MiB,1.80%,1.001GiB,0.13%,36.04MiB,2.24%,539.6MiB,16.42%,557.8MiB
2023-11-02 10:29:48.165194,7.62%,356.3MiB,1.21%,519.5MiB,3.99%,1.001GiB,0.16%,36.04MiB,2.02%,534.7MiB,9.67%,558.9MiB
2023-11-02 10:29:50.304798,12.64%,356.5MiB,1.21%,519MiB,4.38%,1.001GiB,0.27%,36.04MiB,3.36%,534.7MiB,20.27%,559.2MiB
2023-11-02 10:29:52.527630,5.67%,356.5MiB,0.46%,519.4MiB,1.33%,1.001GiB,0.11%,36.04MiB,2.38%,534.7MiB,9.40%,560MiB
2023-11-02 10:29:54.704174,4.97%,356.7MiB,0.00%,519.6MiB,0.63%,1.001GiB,0.13%,36.04MiB,5.23%,534.8MiB,10.35%,560.4MiB
2023-11-02 10:29:56.952678,16.72%,357MiB,1.35%,519.1MiB,8.80%,1.001GiB,0.13%,36.05MiB,1.43%,535MiB,9.41%,561MiB
2023-11-02 10:29:59.155369,6.07%,357MiB,1.49%,519.3MiB,7.54%,1.001GiB,0.19%,36.05MiB,5.72%,535.1MiB,47.05%,567.4MiB
2023-11-02 10:30:01.268864,5.74%,357MiB,0.93%,519.6MiB,8.35%,1.001GiB,0.12%,36.05MiB,1.67%,535.1MiB,15.39%,568.2MiB
2023-11-02 10:30:03.677307,27.88%,357.5MiB,2.03%,519.5MiB,1.64%,1.001GiB,0.19%,36.05MiB,2.32%,535.1MiB,12.73%,568.8MiB
2023-11-02 10:30:05.852498,6.23%,357.2MiB,2.05%,519.7MiB,8.72%,1.001GiB,0.17%,36.05MiB,1.95%,535.2MiB,10.67%,569.5MiB
2023-11-02 10:30:08.023802,5.97%,357.2MiB,0.00%,519.7MiB,0.62%,1.001GiB,0.16%,36.05MiB,2.74%,535.2MiB,8.75%,569.8MiB
2023-11-02 10:30:10.268780,12.24%,357.2MiB,0.00%,519.2MiB,0.75%,1.001GiB,0.12%,36.05MiB,1.90%,535.2MiB,22.94%,570.4MiB
2023-11-02 10:30:12.384035,4.79%,357.2MiB,1.05%,519.7MiB,2.07%,1.001GiB,0.14%,36.05MiB,1.77%,535.2MiB,34.10%,574MiB
2023-11-02 10:30:14.468168,7.62%,357.3MiB,1.74%,519.1MiB,7.10%,1.001GiB,0.21%,36.06MiB,6.78%,535.3MiB,14.72%,574.4MiB
2023-11-02 10:30:16.607421,9.50%,357.6MiB,0.24%,519.2MiB,1.36%,1.001GiB,0.14%,36.06MiB,7.89%,535.4MiB,8.55%,575.4MiB
2023-11-02 10:30:18.765538,44.33%,361.7MiB,1.64%,519.5MiB,1.73%,1.001GiB,0.15%,36.06MiB,4.54%,535.4MiB,10.88%,575.7MiB
2023-11-02 10:30:20.957507,6.05%,361.7MiB,1.33%,519.7MiB,9.25%,1.001GiB,0.15%,36.06MiB,2.88%,535.4MiB,7.98%,576.2MiB
2023-11-02 10:30:23.208419,6.77%,361.8MiB,1.64%,519.3MiB,4.36%,1.002GiB,0.13%,36.06MiB,2.70%,535.4MiB,12.92%,576.9MiB
2023-11-02 10:30:25.351555,28.51%,362MiB,0.00%,519.4MiB,0.66%,1.002GiB,0.17%,36.06MiB,1.51%,535.4MiB,25.16%,577.6MiB
2023-11-02 10:30:27.572472,8.74%,356.2MiB,0.00%,519.6MiB,1.14%,1.002GiB,0.12%,36.06MiB,1.97%,539.8MiB,15.77%,578.3MiB
2023-11-02 10:30:29.878727,9.35%,356.1MiB,0.52%,519.9MiB,3.51%,1.002GiB,0.15%,36.06MiB,1.37%,539.8MiB,31.60%,582.2MiB
2023-11-02 10:30:32.129458,5.00%,356.1MiB,2.00%,519.6MiB,3.20%,1.002GiB,0.20%,36.07MiB,3.82%,539.8MiB,7.39%,605.9MiB
2023-11-02 10:30:34.355549,25.88%,357.6MiB,0.58%,519.9MiB,0.79%,1.002GiB,0.13%,36.07MiB,4.23%,539.9MiB,13.70%,599.4MiB
2023-11-02 10:30:36.604678,6.58%,357.6MiB,0.26%,519.2MiB,30.38%,1.002GiB,0.12%,36.07MiB,2.01%,539.9MiB,10.45%,600.5MiB
2023-11-02 10:30:38.640460,3.55%,357.6MiB,1.61%,519.5MiB,3.38%,1.002GiB,0.11%,36.07MiB,6.85%,539.9MiB,12.27%,601.7MiB
2023-11-02 10:30:40.914592,4.30%,358.5MiB,0.23%,519.6MiB,1.23%,1.002GiB,0.12%,36.07MiB,2.48%,539.9MiB,13.06%,602.2MiB
2023-11-02 10:30:43.169668,18.92%,358.1MiB,0.00%,519.2MiB,0.83%,1.002GiB,0.16%,36.07MiB,1.86%,539.9MiB,8.96%,602.8MiB
2023-11-02 10:30:45.394836,5.09%,358.1MiB,0.24%,519.5MiB,2.17%,1.002GiB,0.19%,36.07MiB,3.21%,540MiB,9.28%,603.6MiB
2023-11-02 10:30:47.644329,4.95%,358.2MiB,0.80%,519.7MiB,5.69%,1.002GiB,0.13%,36.07MiB,1.69%,540MiB,10.62%,604.2MiB
2023-11-02 10:30:49.774832,6.82%,358.4MiB,0.00%,519.8MiB,0.73%,1.002GiB,0.21%,36.08MiB,2.10%,540MiB,8.17%,591.8MiB
2023-11-02 10:30:51.897142,7.16%,358.2MiB,4.19%,519.5MiB,2.39%,1.002GiB,0.17%,36.08MiB,1.39%,540MiB,8.89%,592.4MiB
2023-11-02 10:30:54.064918,3.62%,358.2MiB,6.43%,520MiB,6.71%,1.002GiB,0.15%,36.08MiB,3.08%,540MiB,9.43%,593.1MiB
2023-11-02 10:30:56.203927,73.24%,365.4MiB,1.64%,520.1MiB,34.10%,1.003GiB,0.18%,36.08MiB,2.44%,540.1MiB,14.77%,594.3MiB
2023-11-02 10:30:58.376197,5.97%,375MiB,1.95%,519.4MiB,1.25%,1.002GiB,0.19%,36.08MiB,2.39%,540.6MiB,11.00%,594.7MiB
