time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 11:01:53.405758,17.69%,366MiB,0.00%,620.3MiB,1.27%,1.014GiB,0.14%,39.35MiB,1.41%,551.9MiB,24.29%,605.7MiB
2023-11-02 11:01:55.615681,19.01%,366.4MiB,1.50%,620.5MiB,9.43%,1.014GiB,0.15%,39.35MiB,4.07%,552.1MiB,29.22%,595.7MiB
2023-11-02 11:01:57.738417,11.73%,366.2MiB,52.82%,621.3MiB,8.96%,1.014GiB,0.28%,39.35MiB,1.92%,552.1MiB,14.20%,595.9MiB
2023-11-02 11:01:59.884989,13.73%,367MiB,107.50%,504.3MiB,1.40%,1.014GiB,0.13%,39.35MiB,8.15%,552.2MiB,16.16%,596.9MiB
2023-11-02 11:02:01.939516,12.30%,367.2MiB,0.65%,481.6MiB,1.01%,1.015GiB,0.12%,39.35MiB,3.45%,552.3MiB,45.37%,598.5MiB
2023-11-02 11:02:04.232449,42.07%,367.3MiB,1.09%,481.9MiB,7.66%,1.015GiB,0.13%,39.36MiB,15.63%,552.4MiB,22.90%,596.8MiB
2023-11-02 11:02:06.350068,14.59%,367.4MiB,1.51%,482.2MiB,1.00%,1.015GiB,0.13%,39.36MiB,4.27%,552.6MiB,12.18%,597.3MiB
2023-11-02 11:02:08.541173,17.58%,367.8MiB,0.00%,481.7MiB,0.73%,1.015GiB,0.24%,39.36MiB,1.76%,552.7MiB,29.35%,600.4MiB
2023-11-02 11:02:10.622267,9.24%,367.6MiB,1.65%,481.9MiB,8.42%,1.015GiB,0.14%,39.36MiB,8.03%,551.8MiB,12.68%,601.1MiB
2023-11-02 11:02:12.876044,9.06%,367.7MiB,3.09%,482.2MiB,6.59%,1.015GiB,0.13%,39.36MiB,1.70%,551.8MiB,14.77%,602MiB
2023-11-02 11:02:15.078376,12.72%,367.8MiB,0.45%,482.2MiB,1.00%,1.015GiB,0.36%,39.36MiB,4.15%,552.1MiB,15.55%,596.1MiB
2023-11-02 11:02:17.296234,13.79%,367.9MiB,0.91%,482.3MiB,4.13%,1.021GiB,0.13%,39.36MiB,1.49%,552.1MiB,14.30%,597.2MiB
2023-11-02 11:02:19.526324,8.20%,368MiB,0.60%,482.4MiB,9.59%,1.021GiB,0.15%,39.36MiB,5.00%,552.4MiB,15.81%,597.9MiB
2023-11-02 11:02:21.688200,8.58%,368MiB,1.82%,482.2MiB,7.20%,1.021GiB,0.20%,39.37MiB,1.63%,552.4MiB,14.17%,598.8MiB
2023-11-02 11:02:23.884177,8.41%,368.3MiB,0.00%,482.1MiB,0.61%,1.021GiB,0.15%,39.37MiB,2.26%,552.4MiB,26.99%,603.6MiB
2023-11-02 11:02:26.094406,65.12%,373.3MiB,1.12%,482.6MiB,1.25%,1.021GiB,0.13%,39.37MiB,27.51%,565.4MiB,17.74%,604.5MiB
2023-11-02 11:02:28.286429,21.17%,373.4MiB,1.72%,482MiB,4.18%,1.021GiB,0.13%,39.37MiB,3.25%,565.4MiB,15.46%,605.7MiB
2023-11-02 11:02:30.541098,7.98%,373.4MiB,0.30%,482.1MiB,1.70%,1.021GiB,0.32%,39.37MiB,1.71%,565.4MiB,12.10%,606.3MiB
2023-11-02 11:02:32.706104,4.91%,373.4MiB,1.04%,482.4MiB,1.09%,1.021GiB,0.12%,39.37MiB,1.71%,565.4MiB,9.76%,607MiB
2023-11-02 11:02:34.844759,6.77%,373.4MiB,0.29%,482.6MiB,13.79%,1.024GiB,0.15%,39.37MiB,9.02%,565.4MiB,16.85%,608MiB
2023-11-02 11:02:37.048379,8.57%,373.7MiB,3.77%,482.4MiB,6.53%,1.024GiB,0.13%,39.37MiB,1.83%,565.3MiB,10.99%,601MiB
2023-11-02 11:02:39.205972,6.19%,365.7MiB,0.00%,482.4MiB,0.68%,1.024GiB,0.24%,39.38MiB,5.64%,565.4MiB,23.27%,602.7MiB
2023-11-02 11:02:41.360030,14.43%,365.9MiB,0.00%,482.6MiB,0.65%,1.024GiB,0.12%,39.38MiB,11.27%,570.4MiB,14.23%,603.2MiB
2023-11-02 11:02:43.519492,4.56%,365.9MiB,1.55%,482.2MiB,4.62%,1.024GiB,0.59%,39.38MiB,3.12%,570.5MiB,15.35%,605.3MiB
2023-11-02 11:02:45.639328,5.75%,365.9MiB,3.44%,482.5MiB,11.46%,1.024GiB,0.24%,39.38MiB,7.20%,570.5MiB,14.62%,606.2MiB
2023-11-02 11:02:47.902808,11.21%,365.9MiB,2.39%,482.2MiB,1.62%,1.024GiB,0.17%,39.38MiB,4.83%,570.5MiB,18.18%,606.6MiB
2023-11-02 11:02:50.240365,5.92%,365.9MiB,0.34%,482.6MiB,1.45%,1.024GiB,0.11%,39.38MiB,4.49%,570.6MiB,16.06%,607.9MiB
2023-11-02 11:02:52.396716,10.32%,366MiB,1.87%,482.7MiB,5.03%,1.024GiB,0.12%,39.38MiB,2.95%,570.6MiB,7.18%,608.1MiB
2023-11-02 11:02:54.622590,10.61%,366.1MiB,1.16%,482.8MiB,0.51%,1.024GiB,0.15%,39.38MiB,2.01%,570.6MiB,12.29%,608.9MiB
2023-11-02 11:02:56.966388,4.63%,366.4MiB,1.41%,482.6MiB,1.74%,1.024GiB,0.14%,39.38MiB,1.76%,570.7MiB,12.38%,607.1MiB
2023-11-02 11:02:59.205456,5.47%,366.2MiB,0.00%,482.8MiB,0.52%,1.024GiB,0.13%,39.38MiB,3.35%,570.7MiB,14.19%,609MiB
2023-11-02 11:03:01.334244,7.37%,366.2MiB,0.69%,483MiB,5.19%,1.024GiB,0.12%,39.38MiB,2.64%,570.8MiB,11.98%,609.2MiB
2023-11-02 11:03:03.500095,8.56%,366.3MiB,0.00%,482.4MiB,0.57%,1.024GiB,0.21%,39.39MiB,1.68%,570.8MiB,9.98%,609.8MiB
2023-11-02 11:03:05.580621,6.76%,366.3MiB,0.22%,482.6MiB,1.15%,1.024GiB,0.12%,39.39MiB,7.31%,569.6MiB,12.79%,610.5MiB
2023-11-02 11:03:07.757205,6.33%,366.3MiB,2.42%,482.5MiB,11.25%,1.024GiB,0.13%,39.39MiB,2.80%,569.6MiB,9.18%,611.3MiB
2023-11-02 11:03:10.152258,25.22%,366.9MiB,0.84%,482.7MiB,4.41%,1.024GiB,0.44%,39.39MiB,6.24%,569.7MiB,17.26%,611.9MiB
2023-11-02 11:03:12.308669,33.38%,366.4MiB,0.98%,482.8MiB,1.96%,1.024GiB,0.10%,39.39MiB,1.41%,569.7MiB,11.82%,612.8MiB
2023-11-02 11:03:14.581307,4.51%,366.4MiB,0.00%,482.9MiB,1.10%,1.024GiB,0.16%,39.39MiB,1.69%,569.7MiB,25.78%,618.8MiB
2023-11-02 11:03:16.758270,6.54%,366.8MiB,1.64%,482.9MiB,5.49%,1.024GiB,0.18%,39.4MiB,3.21%,569.7MiB,8.08%,619.7MiB
2023-11-02 11:03:19.068332,7.21%,366.6MiB,0.71%,483.2MiB,8.17%,1.024GiB,0.17%,39.65MiB,2.63%,569.7MiB,9.59%,617.4MiB
2023-11-02 11:03:21.144414,5.85%,366.9MiB,0.29%,483.3MiB,2.22%,1.024GiB,0.21%,39.4MiB,1.69%,569.8MiB,9.73%,618.7MiB
2023-11-02 11:03:23.250436,11.99%,366.6MiB,0.00%,482.9MiB,1.12%,1.025GiB,0.13%,39.4MiB,1.89%,569.8MiB,13.18%,619.1MiB
2023-11-02 11:03:25.416939,5.45%,366.9MiB,1.20%,483.1MiB,6.40%,1.025GiB,0.15%,39.4MiB,7.17%,569.8MiB,18.39%,619.5MiB
