time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-04 09:47:09.546527,26.01%,383.5MiB,2.99%,572.1MiB,2.12%,1.005GiB,0.18%,38.38MiB,2.01%,494.4MiB,188.52%,612.8MiB
2023-11-04 09:47:11.689011,22.12%,375.7MiB,0.60%,572.2MiB,15.11%,1.006GiB,0.24%,38.38MiB,1.86%,495.1MiB,224.34%,617.3MiB
2023-11-04 09:47:13.816570,25.06%,375.8MiB,1.40%,572.3MiB,1.69%,1.006GiB,0.12%,38.38MiB,1.73%,495.1MiB,155.38%,621MiB
2023-11-04 09:47:15.921049,9.83%,375.8MiB,0.00%,572.6MiB,0.64%,1.006GiB,0.16%,38.38MiB,9.19%,489MiB,40.69%,635.2MiB
2023-11-04 09:47:18.027722,11.82%,376.1MiB,2.19%,572.3MiB,6.45%,1.006GiB,0.18%,38.38MiB,12.21%,489.5MiB,48.77%,635MiB
2023-11-04 09:47:20.172380,20.62%,376.8MiB,3.88%,572.1MiB,12.30%,1.006GiB,0.15%,38.38MiB,2.48%,489.5MiB,49.74%,638.6MiB
2023-11-04 09:47:22.477926,10.86%,376.6MiB,1.38%,572.2MiB,1.49%,1.006GiB,0.15%,38.38MiB,1.88%,489.7MiB,67.46%,634.7MiB
2023-11-04 09:47:24.562013,16.51%,377.3MiB,1.43%,572.5MiB,20.24%,1.006GiB,0.13%,38.39MiB,3.29%,489.8MiB,71.26%,636MiB
2023-11-04 09:47:26.736887,21.95%,377.2MiB,0.43%,572.7MiB,9.37%,1.006GiB,0.18%,38.39MiB,1.71%,489.8MiB,50.47%,638.2MiB
2023-11-04 09:47:28.901804,32.93%,377.3MiB,0.27%,572.8MiB,1.12%,1.006GiB,0.15%,38.39MiB,1.61%,490.2MiB,64.21%,639.7MiB
2023-11-04 09:47:31.077951,13.16%,377.4MiB,0.00%,572.6MiB,1.50%,1.006GiB,0.16%,38.39MiB,6.79%,492.3MiB,106.21%,642.2MiB
2023-11-04 09:47:33.172119,16.05%,377.6MiB,0.00%,572.8MiB,1.09%,1.006GiB,0.15%,38.39MiB,3.71%,492.4MiB,63.18%,639.5MiB
2023-11-04 09:47:35.300129,15.00%,377.7MiB,114.01%,521.2MiB,4.75%,1.007GiB,0.13%,38.39MiB,1.99%,492.4MiB,67.87%,649.6MiB
2023-11-04 09:47:37.509295,8.02%,377.8MiB,0.28%,521.2MiB,1.04%,1.007GiB,0.15%,38.39MiB,1.79%,492.5MiB,20.36%,653.4MiB
2023-11-04 09:47:39.760051,38.07%,377.9MiB,1.63%,521.8MiB,3.43%,1.007GiB,0.14%,38.39MiB,7.57%,493MiB,17.96%,651.7MiB
2023-11-04 09:47:41.857969,119.51%,391.6MiB,1.61%,521.2MiB,34.90%,1.007GiB,0.23%,38.4MiB,2.09%,493.2MiB,29.41%,653.5MiB
2023-11-04 09:47:44.010349,12.66%,391.5MiB,0.88%,521.3MiB,34.50%,1.007GiB,0.16%,38.4MiB,1.75%,493.3MiB,36.42%,655.3MiB
2023-11-04 09:47:46.161980,7.02%,391.5MiB,0.00%,521.5MiB,0.89%,1.007GiB,0.18%,38.4MiB,2.16%,494MiB,133.57%,677.5MiB
2023-11-04 09:47:48.433497,9.05%,387.7MiB,0.00%,521.9MiB,1.48%,1.007GiB,3.28%,38.4MiB,9.11%,494.2MiB,82.87%,676.8MiB
2023-11-04 09:47:50.531577,16.93%,388MiB,1.36%,521.7MiB,5.56%,1.007GiB,0.15%,38.4MiB,8.25%,494.6MiB,52.40%,672.1MiB
2023-11-04 09:47:52.667437,13.56%,387.9MiB,0.28%,521.8MiB,1.97%,1.007GiB,0.13%,38.4MiB,2.67%,494.4MiB,165.61%,674MiB
2023-11-04 09:47:54.832052,9.22%,388MiB,2.04%,521.4MiB,2.41%,1.007GiB,0.13%,38.4MiB,3.62%,494.6MiB,76.16%,661.7MiB
2023-11-04 09:47:56.942317,15.18%,388.2MiB,1.50%,521.6MiB,3.48%,1.007GiB,0.14%,38.4MiB,2.99%,494.7MiB,90.69%,663.2MiB
2023-11-04 09:47:59.031096,6.87%,388MiB,0.34%,521.7MiB,3.05%,1.007GiB,0.28%,38.4MiB,1.68%,495.9MiB,64.41%,665.7MiB
