time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-03 14:50:44.025061,7.91%,378.9MiB,3.52%,481.2MiB,12.50%,1.031GiB,0.13%,34.23MiB,1.59%,579.6MiB,16.54%,634.6MiB
2023-11-03 14:50:46.221868,31.04%,379.1MiB,0.00%,481.5MiB,3.11%,1.031GiB,0.13%,34.23MiB,3.55%,580.5MiB,91.74%,637.8MiB
2023-11-03 14:50:48.351962,6.38%,378.9MiB,1.49%,481.7MiB,7.35%,1.031GiB,0.14%,34.23MiB,2.13%,580.6MiB,98.92%,656.5MiB
2023-11-03 14:50:50.481820,35.43%,379.2MiB,0.00%,481.9MiB,0.63%,1.031GiB,0.11%,34.23MiB,1.85%,580.6MiB,18.97%,655.8MiB
2023-11-03 14:50:52.652198,38.22%,379MiB,0.34%,482.1MiB,1.94%,1.031GiB,4.70%,34.23MiB,1.64%,580.7MiB,16.79%,656.1MiB
2023-11-03 14:50:54.900910,13.76%,379.8MiB,2.98%,481.9MiB,13.97%,1.031GiB,0.13%,34.23MiB,1.83%,580.7MiB,16.53%,655.9MiB
2023-11-03 14:50:57.074165,10.29%,379.3MiB,0.61%,482MiB,2.16%,1.031GiB,0.13%,34.24MiB,4.04%,580.7MiB,17.21%,656.2MiB
2023-11-03 14:50:59.349120,9.99%,379.1MiB,1.33%,481.5MiB,3.79%,1.031GiB,0.21%,34.24MiB,1.52%,580.7MiB,106.63%,647.9MiB
2023-11-03 14:51:01.440889,6.26%,379.3MiB,0.00%,481.5MiB,1.06%,1.031GiB,0.15%,34.24MiB,1.81%,580.7MiB,76.57%,663MiB
2023-11-03 14:51:03.697083,15.78%,379.1MiB,0.94%,481.7MiB,3.36%,1.031GiB,0.13%,34.24MiB,1.52%,580.7MiB,186.16%,675.3MiB
2023-11-03 14:51:05.931061,6.72%,379.4MiB,0.00%,482.1MiB,0.97%,1.031GiB,0.10%,34.24MiB,1.41%,580.7MiB,39.70%,675.7MiB
2023-11-03 14:51:08.054182,9.10%,379.1MiB,0.00%,481.5MiB,0.58%,1.031GiB,0.13%,34.24MiB,1.71%,580.7MiB,16.39%,675.5MiB
2023-11-03 14:51:10.154344,11.87%,379.1MiB,1.14%,481.8MiB,1.29%,1.031GiB,0.13%,34.24MiB,2.24%,580.7MiB,27.14%,676MiB
2023-11-03 14:51:12.300898,5.12%,379.1MiB,3.95%,481.9MiB,13.52%,1.031GiB,0.12%,34.25MiB,3.84%,580.7MiB,73.63%,665.1MiB
2023-11-03 14:51:14.535820,5.28%,379.1MiB,2.90%,481.8MiB,1.05%,1.031GiB,0.15%,34.25MiB,2.92%,580.7MiB,36.64%,667.5MiB
2023-11-03 14:51:16.572701,6.02%,379.4MiB,0.00%,481.9MiB,1.21%,1.031GiB,0.15%,34.25MiB,7.64%,583.4MiB,32.39%,667.1MiB
2023-11-03 14:51:18.651973,5.39%,379.4MiB,0.54%,482.1MiB,24.90%,1.031GiB,0.10%,34.25MiB,2.51%,585.5MiB,25.01%,668.5MiB
2023-11-03 14:51:20.975928,11.29%,379.4MiB,0.00%,481.4MiB,1.39%,1.031GiB,0.13%,34.25MiB,7.17%,586.7MiB,119.07%,667.3MiB
2023-11-03 14:51:23.030949,9.97%,379.2MiB,0.00%,481.6MiB,3.06%,1.032GiB,0.23%,34.25MiB,27.58%,585.1MiB,42.06%,661.5MiB
2023-11-03 14:51:25.143494,6.51%,379.2MiB,1.64%,481.4MiB,19.34%,1.032GiB,0.16%,34.25MiB,1.97%,585.1MiB,49.25%,661.5MiB
2023-11-03 14:51:27.334977,39.76%,379.5MiB,1.02%,481.6MiB,8.41%,1.032GiB,0.13%,34.25MiB,10.79%,585.3MiB,55.13%,661.3MiB
2023-11-03 14:51:29.485787,102.11%,384.9MiB,2.42%,481.7MiB,6.98%,1.032GiB,0.24%,34.25MiB,26.65%,585.8MiB,51.53%,662.1MiB
2023-11-03 14:51:31.558907,14.04%,385MiB,0.00%,481.8MiB,0.91%,1.032GiB,0.14%,34.25MiB,20.25%,590.4MiB,34.62%,652.1MiB
2023-11-03 14:51:33.766271,8.16%,385.5MiB,1.82%,482MiB,3.98%,1.032GiB,0.13%,34.25MiB,2.05%,590.9MiB,38.60%,652.8MiB
2023-11-03 14:51:35.855716,5.28%,385MiB,0.00%,481.7MiB,1.31%,1.032GiB,0.13%,34.25MiB,2.17%,590.9MiB,25.76%,653.9MiB
2023-11-03 14:51:38.100222,14.54%,385.1MiB,0.00%,481.9MiB,0.69%,1.032GiB,0.15%,34.25MiB,11.53%,588.5MiB,19.93%,654.6MiB
2023-11-03 14:51:40.324232,7.52%,386.6MiB,1.02%,482.1MiB,1.87%,1.032GiB,0.12%,34.25MiB,2.32%,588.5MiB,33.83%,655.6MiB
2023-11-03 14:51:42.493349,7.04%,386.3MiB,5.27%,482MiB,11.03%,1.032GiB,0.17%,34.26MiB,6.00%,597.5MiB,32.99%,658.2MiB
2023-11-03 14:51:44.683634,5.99%,386.6MiB,2.60%,481.9MiB,3.87%,1.032GiB,0.15%,34.26MiB,2.43%,597.5MiB,71.11%,659.8MiB
2023-11-03 14:51:46.852476,7.77%,386.4MiB,0.77%,482.2MiB,6.02%,1.032GiB,0.20%,34.26MiB,24.38%,587.6MiB,60.84%,661.1MiB
2023-11-03 14:51:49.014624,5.60%,386.4MiB,0.68%,482.3MiB,10.77%,1.032GiB,0.14%,34.26MiB,2.53%,587.6MiB,147.51%,673.1MiB
2023-11-03 14:51:51.143133,7.82%,386.4MiB,0.88%,481.9MiB,2.29%,1.032GiB,0.12%,34.26MiB,1.72%,587.6MiB,56.05%,674.7MiB
2023-11-03 14:51:53.294932,22.32%,386.6MiB,0.00%,482MiB,1.46%,1.032GiB,0.45%,34.26MiB,14.86%,587.9MiB,95.43%,677.8MiB
2023-11-03 14:51:55.502262,9.92%,386.4MiB,3.40%,482.6MiB,23.09%,1.033GiB,0.10%,34.27MiB,3.40%,588MiB,49.12%,678.7MiB
2023-11-03 14:51:57.668300,6.51%,386.4MiB,2.12%,482MiB,3.10%,1.033GiB,0.14%,34.27MiB,2.14%,588MiB,19.21%,680.2MiB
2023-11-03 14:51:59.795701,4.70%,386.4MiB,1.00%,482.1MiB,3.20%,1.033GiB,0.11%,34.27MiB,1.85%,588MiB,30.93%,681.2MiB
2023-11-03 14:52:02.015378,11.16%,386.4MiB,0.25%,482.3MiB,1.66%,1.033GiB,0.13%,34.27MiB,9.15%,588MiB,22.87%,683.2MiB
2023-11-03 14:52:04.212433,35.65%,386.5MiB,2.41%,482.1MiB,1.28%,1.033GiB,0.15%,34.27MiB,6.59%,588MiB,123.49%,685.2MiB
2023-11-03 14:52:06.448963,11.55%,386.5MiB,0.47%,482.2MiB,5.85%,1.033GiB,0.11%,34.27MiB,4.11%,588.1MiB,185.12%,708.5MiB
2023-11-03 14:52:08.615063,5.94%,386.6MiB,0.00%,482.3MiB,6.16%,1.033GiB,0.15%,34.27MiB,1.69%,588.2MiB,126.51%,703.5MiB
2023-11-03 14:52:10.987647,8.16%,386.6MiB,0.00%,482.6MiB,4.51%,1.033GiB,0.23%,34.27MiB,2.68%,588.2MiB,43.28%,703.5MiB
2023-11-03 14:52:13.092884,8.07%,386.6MiB,1.15%,482.8MiB,2.98%,1.033GiB,0.13%,34.27MiB,2.47%,588.2MiB,78.08%,704.8MiB
2023-11-03 14:52:15.279631,5.52%,386.6MiB,1.61%,482.7MiB,2.27%,1.033GiB,0.11%,34.27MiB,1.92%,588.2MiB,91.40%,704.6MiB
2023-11-03 14:52:17.432081,5.88%,386.6MiB,0.22%,482.8MiB,1.44%,1.033GiB,0.20%,34.27MiB,12.86%,588.3MiB,47.17%,704.5MiB
2023-11-03 14:52:19.761188,22.47%,386.9MiB,3.17%,482.3MiB,3.17%,1.033GiB,0.14%,34.27MiB,2.81%,588.6MiB,17.19%,704.8MiB
2023-11-03 14:52:21.934700,22.65%,386.9MiB,1.08%,482.7MiB,1.57%,1.033GiB,0.13%,34.27MiB,3.14%,588.3MiB,29.07%,704.3MiB
2023-11-03 14:52:24.059876,4.41%,386.6MiB,0.44%,482.8MiB,0.94%,1.033GiB,0.10%,34.28MiB,4.63%,588.4MiB,16.56%,704.3MiB
2023-11-03 14:52:26.276579,15.36%,386.7MiB,0.00%,483.1MiB,1.10%,1.033GiB,0.12%,34.28MiB,2.36%,588.4MiB,21.98%,705MiB
2023-11-03 14:52:28.352877,8.90%,386.7MiB,0.25%,482.4MiB,0.77%,1.033GiB,0.11%,34.28MiB,2.04%,588.4MiB,33.53%,704.8MiB
2023-11-03 14:52:30.548452,5.96%,386.7MiB,0.60%,482.6MiB,2.62%,1.033GiB,0.12%,34.28MiB,1.79%,587.7MiB,40.87%,704.6MiB
