time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 12:20:22.372286,10.13%,359.9MiB,0.29%,610.9MiB,1.71%,1.055GiB,0.11%,36.53MiB,1.51%,564.1MiB,15.40%,568.5MiB
2023-11-02 12:20:24.518955,10.62%,360.3MiB,3.42%,610.7MiB,16.27%,1.055GiB,0.16%,36.53MiB,1.74%,564.1MiB,20.60%,569.5MiB
2023-11-02 12:20:26.658398,15.46%,361MiB,91.72%,575.1MiB,3.77%,1.055GiB,0.16%,36.53MiB,2.16%,564.1MiB,18.61%,570.4MiB
2023-11-02 12:20:28.781870,9.61%,360.9MiB,118.95%,499.2MiB,0.75%,1.055GiB,0.14%,36.53MiB,1.80%,564.1MiB,17.53%,571.1MiB
2023-11-02 12:20:31.036221,28.23%,360.7MiB,0.00%,499.5MiB,6.41%,1.055GiB,0.13%,36.53MiB,5.39%,564.2MiB,50.52%,575.1MiB
2023-11-02 12:20:33.249458,14.04%,360.8MiB,1.09%,499.7MiB,20.95%,1.055GiB,0.17%,36.54MiB,2.55%,564.2MiB,13.61%,575.7MiB
2023-11-02 12:20:35.394148,11.11%,360.9MiB,3.79%,499.3MiB,5.54%,1.055GiB,0.13%,36.54MiB,3.69%,564.3MiB,15.77%,576.4MiB
2023-11-02 12:20:37.485821,12.79%,361MiB,0.52%,499.5MiB,1.75%,1.055GiB,0.13%,36.54MiB,1.71%,564.3MiB,20.26%,576.9MiB
2023-11-02 12:20:39.750426,8.90%,361.1MiB,1.77%,499.8MiB,6.68%,1.056GiB,0.13%,36.54MiB,4.14%,564.3MiB,17.21%,577.8MiB
2023-11-02 12:20:41.939266,11.43%,361.3MiB,0.91%,500.2MiB,5.78%,1.056GiB,0.11%,36.54MiB,1.69%,564.3MiB,18.75%,577.2MiB
2023-11-02 12:20:44.113272,5.61%,361.3MiB,1.16%,499.5MiB,6.19%,1.056GiB,0.12%,36.54MiB,2.67%,564.3MiB,12.01%,578.1MiB
2023-11-02 12:20:46.327954,16.32%,361.4MiB,0.00%,500.1MiB,0.96%,1.056GiB,0.14%,36.54MiB,1.98%,564.3MiB,14.81%,578.9MiB
2023-11-02 12:20:48.608403,8.56%,361.7MiB,1.06%,499.6MiB,13.45%,1.056GiB,0.15%,36.54MiB,1.88%,564.5MiB,17.01%,579.5MiB
2023-11-02 12:20:50.646198,20.17%,363.4MiB,0.00%,499.7MiB,1.01%,1.056GiB,0.23%,36.55MiB,4.83%,560.3MiB,14.59%,580.6MiB
2023-11-02 12:20:52.864733,82.52%,378MiB,0.45%,499.9MiB,5.63%,1.056GiB,0.14%,36.55MiB,2.57%,560.3MiB,16.78%,581.2MiB
2023-11-02 12:20:55.043731,22.71%,378.4MiB,2.26%,500MiB,4.16%,1.056GiB,0.13%,36.55MiB,1.53%,560.3MiB,11.85%,582MiB
2023-11-02 12:20:57.210588,6.74%,378.4MiB,1.15%,500MiB,5.85%,1.056GiB,0.34%,36.55MiB,1.49%,560.2MiB,10.25%,582.7MiB
2023-11-02 12:20:59.444476,9.66%,378.4MiB,0.00%,500MiB,0.59%,1.056GiB,0.12%,36.55MiB,5.11%,560.3MiB,17.85%,583.7MiB
2023-11-02 12:21:01.565936,7.04%,378.4MiB,0.00%,500.3MiB,0.74%,1.056GiB,0.13%,36.55MiB,4.31%,560.3MiB,17.60%,584.4MiB
2023-11-02 12:21:03.743475,47.40%,378.6MiB,0.74%,500.5MiB,4.85%,1.056GiB,0.13%,36.55MiB,2.58%,566.7MiB,20.19%,574.6MiB
