time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-04 10:49:31.020320,8.65%,357.5MiB,4.28%,567.9MiB,25.94%,1.026GiB,0.15%,34.4MiB,3.13%,440.5MiB,22.78%,673.2MiB
2023-11-04 10:49:33.181369,10.16%,357.6MiB,0.23%,568MiB,1.56%,1.026GiB,0.13%,34.41MiB,10.50%,441.6MiB,17.08%,674.4MiB
2023-11-04 10:49:35.272881,10.68%,358MiB,1.32%,568.3MiB,7.15%,1.026GiB,0.14%,34.41MiB,1.68%,441.6MiB,29.81%,675.3MiB
2023-11-04 10:49:37.387212,25.31%,358.4MiB,0.39%,568.5MiB,4.85%,1.026GiB,0.14%,34.41MiB,1.81%,441.6MiB,19.34%,676.4MiB
2023-11-04 10:49:39.459255,11.98%,358.4MiB,0.79%,568.7MiB,6.72%,1.026GiB,0.20%,34.41MiB,1.56%,441.6MiB,25.14%,677.9MiB
2023-11-04 10:49:41.513280,9.33%,358.7MiB,0.00%,568.4MiB,0.97%,1.026GiB,0.13%,34.41MiB,1.34%,441.7MiB,16.29%,679MiB
2023-11-04 10:49:43.663517,6.50%,358.4MiB,0.35%,568.6MiB,1.36%,1.026GiB,0.12%,34.41MiB,4.01%,441.7MiB,22.81%,680.3MiB
2023-11-04 10:49:45.736902,6.13%,358.6MiB,57.46%,539.3MiB,6.80%,1.026GiB,0.12%,34.41MiB,1.66%,441.7MiB,13.57%,680.9MiB
2023-11-04 10:49:47.880030,12.16%,358.9MiB,0.64%,515.8MiB,1.16%,1.026GiB,0.25%,34.66MiB,1.59%,441.7MiB,15.71%,681.5MiB
2023-11-04 10:49:49.962195,12.44%,358.8MiB,0.00%,516MiB,1.12%,1.026GiB,0.14%,34.41MiB,2.59%,441.7MiB,16.72%,682.7MiB
2023-11-04 10:49:52.118593,6.84%,359.4MiB,0.65%,516.6MiB,35.00%,1.026GiB,0.14%,34.41MiB,1.83%,441.8MiB,12.58%,683.6MiB
2023-11-04 10:49:54.252227,13.64%,359.6MiB,0.00%,516.6MiB,0.77%,1.026GiB,0.23%,34.41MiB,1.83%,441.9MiB,14.03%,684.5MiB
2023-11-04 10:49:56.417214,11.79%,359.4MiB,0.00%,516.1MiB,0.59%,1.026GiB,0.15%,34.41MiB,1.69%,441.9MiB,15.09%,685.1MiB
2023-11-04 10:49:58.660970,6.33%,359.4MiB,2.26%,516.5MiB,17.77%,1.026GiB,0.12%,34.41MiB,2.09%,441.9MiB,17.12%,685.8MiB
2023-11-04 10:50:00.719184,19.56%,361.6MiB,8.13%,516.4MiB,11.84%,1.026GiB,0.20%,34.42MiB,3.41%,441.7MiB,15.11%,684.6MiB
2023-11-04 10:50:02.905333,51.71%,363MiB,0.38%,516.5MiB,1.95%,1.026GiB,0.17%,34.42MiB,20.85%,445.7MiB,17.26%,685.5MiB
2023-11-04 10:50:04.986978,7.57%,363.4MiB,0.00%,516.6MiB,1.60%,1.026GiB,0.23%,34.42MiB,1.89%,445.7MiB,20.32%,684.6MiB
2023-11-04 10:50:07.232199,9.32%,363.4MiB,1.69%,516.2MiB,3.84%,1.026GiB,0.12%,34.42MiB,1.43%,445.7MiB,9.53%,685.1MiB
2023-11-04 10:50:09.298234,16.93%,363.5MiB,0.00%,516.3MiB,0.61%,1.026GiB,0.13%,34.42MiB,2.62%,440.4MiB,15.48%,686MiB
2023-11-04 10:50:11.481677,16.18%,363.5MiB,0.00%,516.9MiB,0.68%,1.026GiB,0.14%,34.42MiB,1.64%,440.6MiB,10.87%,678.3MiB
