time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-04 14:39:53.224880,12.32%,360.5MiB,0.00%,477.2MiB,0.58%,1.01GiB,0.17%,34.29MiB,4.66%,473MiB,13.48%,643.8MiB
2023-11-04 14:39:55.313203,6.16%,361MiB,2.86%,477.1MiB,6.69%,1.01GiB,0.17%,34.29MiB,1.67%,473.2MiB,10.88%,644.3MiB
2023-11-04 14:39:57.360279,6.88%,361MiB,1.04%,477.2MiB,3.21%,1.01GiB,0.10%,34.29MiB,1.70%,474.1MiB,13.89%,644.6MiB
2023-11-04 14:39:59.409400,10.76%,361MiB,0.00%,477.2MiB,0.83%,1.01GiB,0.13%,34.29MiB,1.51%,472.5MiB,21.86%,646.2MiB
2023-11-04 14:40:01.456491,5.98%,361.4MiB,0.00%,477.5MiB,0.45%,1.01GiB,0.14%,34.3MiB,2.83%,471.9MiB,11.34%,646.2MiB
2023-11-04 14:40:03.539029,4.98%,361.7MiB,1.12%,477MiB,5.83%,1.01GiB,0.13%,34.3MiB,36.72%,483.8MiB,22.29%,644.2MiB
2023-11-04 14:40:05.593307,13.20%,361.7MiB,1.30%,477.6MiB,2.86%,1.01GiB,0.12%,34.3MiB,2.20%,483.8MiB,16.05%,645MiB
2023-11-04 14:40:07.722856,6.79%,362MiB,0.67%,477.1MiB,1.26%,1.01GiB,0.14%,34.3MiB,2.00%,483.8MiB,14.34%,640.5MiB
2023-11-04 14:40:10.016032,7.31%,362.3MiB,1.70%,477.4MiB,7.27%,1.01GiB,0.19%,34.3MiB,1.37%,483.8MiB,16.43%,640.9MiB
2023-11-04 14:40:12.262321,14.91%,362.1MiB,0.94%,477.5MiB,3.68%,1.011GiB,0.09%,34.3MiB,1.22%,483.8MiB,11.19%,641.3MiB
2023-11-04 14:40:14.265572,7.45%,362.3MiB,0.00%,477.6MiB,0.58%,1.01GiB,0.10%,34.3MiB,4.87%,483.9MiB,11.19%,641.7MiB
2023-11-04 14:40:16.502556,4.84%,362.4MiB,0.54%,477.4MiB,11.56%,1.011GiB,0.19%,34.3MiB,1.65%,483.9MiB,26.72%,648.3MiB
2023-11-04 14:40:18.549830,4.88%,362.4MiB,0.71%,477.6MiB,8.95%,1.011GiB,0.24%,34.3MiB,1.46%,483.9MiB,12.08%,648.8MiB
2023-11-04 14:40:20.646455,7.68%,362.5MiB,0.88%,477.8MiB,3.26%,1.011GiB,0.12%,34.3MiB,1.38%,483.9MiB,12.01%,649.3MiB
2023-11-04 14:40:22.900160,5.35%,362.5MiB,0.22%,478MiB,4.52%,1.011GiB,0.28%,34.31MiB,2.63%,483.9MiB,10.03%,648.9MiB
2023-11-04 14:40:24.953473,13.74%,362.5MiB,6.05%,477.9MiB,16.04%,1.011GiB,0.16%,34.31MiB,3.27%,480.7MiB,14.84%,649MiB
2023-11-04 14:40:27.061137,69.60%,370.3MiB,0.00%,477.9MiB,0.61%,1.011GiB,0.11%,34.31MiB,1.63%,480.7MiB,12.01%,649.4MiB
2023-11-04 14:40:29.158192,15.61%,370.4MiB,0.13%,478.1MiB,0.92%,1.011GiB,0.14%,34.31MiB,4.13%,479.4MiB,22.81%,649.8MiB
2023-11-04 14:40:31.282914,7.64%,370.4MiB,0.52%,477.6MiB,3.26%,1.011GiB,0.15%,34.31MiB,1.53%,479.4MiB,8.66%,645.6MiB
2023-11-04 14:40:33.399745,6.04%,370.5MiB,0.31%,477.7MiB,1.63%,1.011GiB,0.41%,34.31MiB,3.75%,479.5MiB,17.59%,645.9MiB
2023-11-04 14:40:35.517685,6.16%,363.7MiB,2.69%,477.7MiB,3.78%,1.011GiB,0.13%,34.31MiB,2.11%,481.1MiB,11.09%,645.4MiB
2023-11-04 14:40:37.693124,5.64%,363.7MiB,0.31%,478.1MiB,34.07%,1.011GiB,0.12%,34.32MiB,1.63%,481.1MiB,25.41%,645.2MiB
2023-11-04 14:40:39.754573,8.36%,363.8MiB,1.63%,478.4MiB,4.80%,1.011GiB,0.09%,34.32MiB,1.44%,481.1MiB,15.87%,645.5MiB
2023-11-04 14:40:41.813472,11.40%,363.9MiB,0.00%,478.2MiB,0.82%,1.011GiB,0.11%,34.32MiB,1.32%,481.1MiB,16.85%,645.9MiB
2023-11-04 14:40:43.933127,10.04%,364.2MiB,0.00%,477.7MiB,0.60%,1.011GiB,0.14%,34.32MiB,1.39%,481.2MiB,6.75%,646.1MiB
2023-11-04 14:40:46.091764,5.11%,364MiB,0.61%,478.3MiB,5.29%,1.011GiB,0.18%,34.32MiB,1.37%,481.2MiB,12.13%,645.9MiB
2023-11-04 14:40:48.200057,3.58%,364MiB,0.41%,478.4MiB,1.73%,1.011GiB,0.11%,34.32MiB,1.24%,481.2MiB,7.86%,646MiB
2023-11-04 14:40:50.274346,4.14%,364MiB,1.15%,477.9MiB,1.49%,1.011GiB,0.10%,34.32MiB,1.58%,481.2MiB,8.04%,646.1MiB
2023-11-04 14:40:52.507269,6.02%,364MiB,0.83%,478.1MiB,7.24%,1.011GiB,0.23%,34.32MiB,1.54%,481.2MiB,8.33%,646.1MiB
2023-11-04 14:40:54.662394,7.61%,364.2MiB,1.59%,478.4MiB,3.59%,1.012GiB,0.09%,34.32MiB,4.44%,478.4MiB,16.76%,646.8MiB
2023-11-04 14:40:56.754534,4.24%,364.3MiB,0.00%,478MiB,0.48%,1.012GiB,0.11%,34.32MiB,1.72%,478.4MiB,7.86%,646.4MiB
2023-11-04 14:40:58.980547,5.17%,364.3MiB,0.00%,478.2MiB,0.65%,1.012GiB,0.29%,34.32MiB,1.70%,478.4MiB,7.90%,646.8MiB
