time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 16:06:17.472447,14.16%,344MiB,0.35%,521.9MiB,3.24%,1.006GiB,0.10%,34.44MiB,2.92%,472.9MiB,24.41%,648.3MiB
2023-11-02 16:06:19.722844,7.06%,344.2MiB,0.59%,521.5MiB,3.72%,1.006GiB,0.10%,34.45MiB,1.46%,472.9MiB,14.57%,648.3MiB
2023-11-02 16:06:21.840539,8.31%,344.4MiB,1.85%,521.9MiB,1.43%,1.006GiB,0.10%,34.45MiB,1.50%,472.8MiB,20.94%,648.8MiB
2023-11-02 16:06:24.014829,9.17%,344.5MiB,0.47%,522.1MiB,0.92%,1.006GiB,0.11%,34.45MiB,1.17%,472.7MiB,9.96%,648.7MiB
2023-11-02 16:06:26.232744,7.51%,344.5MiB,2.47%,521.6MiB,38.96%,1.006GiB,0.11%,34.45MiB,1.47%,472.9MiB,10.91%,648.8MiB
2023-11-02 16:06:28.381384,10.76%,345.1MiB,1.21%,521.7MiB,1.65%,1.006GiB,0.11%,34.45MiB,1.51%,473.1MiB,9.86%,649.2MiB
2023-11-02 16:06:30.499485,11.19%,345MiB,1.88%,522.1MiB,12.76%,1.006GiB,0.09%,34.45MiB,1.46%,473.1MiB,10.77%,649.3MiB
2023-11-02 16:06:32.650827,8.32%,348.7MiB,0.21%,521.9MiB,24.49%,1.006GiB,0.13%,34.45MiB,1.39%,473.1MiB,11.48%,649.5MiB
2023-11-02 16:06:34.958801,7.87%,348.5MiB,1.45%,522.1MiB,6.80%,1.006GiB,0.15%,34.45MiB,6.62%,473.2MiB,22.56%,648.1MiB
2023-11-02 16:06:37.057603,9.39%,367.9MiB,0.00%,522.3MiB,1.03%,1.006GiB,0.21%,34.46MiB,1.46%,475.4MiB,10.55%,647.9MiB
2023-11-02 16:06:39.344725,4.98%,357.4MiB,0.00%,521.8MiB,0.61%,1.006GiB,0.09%,34.46MiB,1.77%,475.4MiB,8.80%,648.1MiB
2023-11-02 16:06:41.517317,23.55%,358MiB,1.38%,522.4MiB,4.58%,1.006GiB,0.11%,34.46MiB,1.22%,469.6MiB,9.96%,648.5MiB
2023-11-02 16:06:43.685476,32.81%,357.9MiB,3.44%,521.9MiB,9.51%,1.007GiB,0.28%,34.46MiB,1.32%,469.6MiB,14.07%,648.6MiB
2023-11-02 16:06:45.786510,6.38%,358MiB,0.66%,522MiB,1.29%,1.007GiB,0.11%,34.46MiB,2.87%,469.6MiB,13.37%,649.2MiB
2023-11-02 16:06:48.083966,4.79%,358MiB,0.72%,522.2MiB,1.02%,1.007GiB,0.10%,34.46MiB,5.13%,469.8MiB,13.49%,645.3MiB
2023-11-02 16:06:50.286208,7.05%,351.9MiB,1.23%,522.4MiB,11.60%,1.007GiB,0.10%,34.46MiB,1.22%,469.8MiB,9.45%,641.2MiB
2023-11-02 16:06:52.404166,4.94%,351.7MiB,0.29%,522MiB,1.23%,1.007GiB,0.09%,34.46MiB,1.33%,469.8MiB,9.71%,641.3MiB
2023-11-02 16:06:54.582772,8.86%,351.9MiB,0.00%,522.2MiB,1.01%,1.007GiB,0.13%,34.46MiB,6.35%,469.9MiB,20.58%,642.1MiB
2023-11-02 16:06:56.767447,6.09%,351.9MiB,0.00%,522.5MiB,1.11%,1.007GiB,0.11%,34.47MiB,1.25%,470MiB,6.60%,643.8MiB
2023-11-02 16:06:59.010228,12.59%,352MiB,1.11%,522.7MiB,4.03%,1.007GiB,0.11%,34.47MiB,1.40%,470.2MiB,14.12%,643.7MiB
2023-11-02 16:07:01.120566,5.42%,352.3MiB,5.64%,522.5MiB,10.40%,1.007GiB,0.18%,34.47MiB,1.66%,470.2MiB,17.87%,643.8MiB
2023-11-02 16:07:03.370913,5.52%,352.3MiB,0.64%,522.8MiB,0.95%,1.007GiB,0.13%,34.47MiB,1.25%,470.3MiB,6.79%,643.8MiB
2023-11-02 16:07:05.577869,8.39%,352.1MiB,5.89%,522.2MiB,10.33%,1.007GiB,0.16%,34.47MiB,4.67%,470.4MiB,33.36%,648.7MiB
2023-11-02 16:07:07.641419,8.17%,352.2MiB,1.08%,522.3MiB,6.91%,1.007GiB,0.20%,34.47MiB,3.94%,470.6MiB,14.42%,648.9MiB
