time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-03 13:36:33.093117,5.82%,357.3MiB,0.39%,520MiB,0.92%,1023MiB,0.15%,34.08MiB,36.76%,517.6MiB,9.92%,591.6MiB
2023-11-03 13:36:35.225337,8.86%,357.4MiB,0.86%,520.2MiB,6.71%,1023MiB,0.15%,34.08MiB,1.80%,517.6MiB,18.68%,591.6MiB
2023-11-03 13:36:37.335258,9.36%,357.8MiB,1.08%,520.4MiB,3.64%,1023MiB,0.22%,34.08MiB,1.73%,518.5MiB,15.59%,591.6MiB
2023-11-03 13:36:39.489954,8.75%,357.8MiB,0.30%,519.8MiB,1.03%,1023MiB,0.13%,34.08MiB,1.88%,518.5MiB,12.44%,592.8MiB
2023-11-03 13:36:41.674381,9.64%,357.8MiB,1.32%,520.1MiB,4.79%,1023MiB,0.13%,34.08MiB,1.55%,518.5MiB,8.23%,591.9MiB
2023-11-03 13:36:43.861540,9.90%,358.1MiB,1.31%,519.9MiB,25.74%,1023MiB,0.16%,34.08MiB,1.76%,518.6MiB,8.84%,586.2MiB
2023-11-03 13:36:45.967265,8.81%,358.1MiB,0.00%,519.9MiB,0.96%,1023MiB,0.14%,34.09MiB,6.86%,519.2MiB,12.87%,588MiB
2023-11-03 13:36:48.141803,22.98%,357.9MiB,0.40%,520.1MiB,0.61%,1023MiB,0.15%,34.09MiB,2.01%,519.2MiB,13.32%,588.6MiB
2023-11-03 13:36:50.340696,4.98%,358.1MiB,0.64%,520.3MiB,14.63%,1024MiB,0.13%,34.09MiB,2.25%,519.2MiB,14.97%,591MiB
2023-11-03 13:36:52.498718,8.48%,358.1MiB,1.50%,520MiB,1.03%,1024MiB,0.16%,34.09MiB,4.23%,519.3MiB,15.82%,591.1MiB
2023-11-03 13:36:54.675647,5.01%,358.4MiB,0.36%,520.2MiB,3.69%,1024MiB,0.22%,34.09MiB,1.70%,519.3MiB,10.85%,591.2MiB
2023-11-03 13:36:56.766528,4.62%,358.1MiB,0.68%,520.4MiB,1.93%,1024MiB,0.15%,34.09MiB,4.02%,519.3MiB,15.99%,591.3MiB
2023-11-03 13:36:58.899370,6.20%,358.1MiB,2.54%,519.9MiB,4.99%,1024MiB,0.12%,34.09MiB,1.58%,519.3MiB,12.44%,591.6MiB
2023-11-03 13:37:01.152218,6.61%,358.4MiB,0.42%,519.9MiB,1.18%,1024MiB,0.19%,34.1MiB,1.78%,519.3MiB,11.21%,591.9MiB
2023-11-03 13:37:03.257087,5.29%,358.6MiB,0.00%,520.6MiB,0.76%,1024MiB,0.14%,34.1MiB,2.92%,519.3MiB,14.98%,592.4MiB
2023-11-03 13:37:05.535570,5.39%,358.4MiB,0.77%,520MiB,3.27%,1024MiB,0.17%,34.1MiB,2.02%,519.3MiB,12.78%,593.3MiB
2023-11-03 13:37:07.830157,14.49%,358.6MiB,3.80%,520.3MiB,8.23%,1024MiB,0.29%,34.1MiB,3.52%,519.4MiB,8.91%,593.6MiB
2023-11-03 13:37:09.997784,5.80%,359.1MiB,0.00%,520.3MiB,1.16%,1024MiB,0.12%,34.1MiB,1.62%,519.4MiB,16.24%,592.7MiB
2023-11-03 13:37:12.167368,14.44%,358.7MiB,1.31%,520.3MiB,4.58%,1024MiB,0.13%,34.1MiB,1.87%,519.4MiB,8.85%,593.3MiB
2023-11-03 13:37:14.320762,8.54%,358.7MiB,0.80%,520.3MiB,6.10%,1024MiB,0.11%,34.11MiB,2.85%,519.5MiB,10.48%,594.1MiB
2023-11-03 13:37:16.451480,41.93%,360.5MiB,0.72%,520.4MiB,1.04%,1024MiB,0.12%,34.11MiB,5.11%,519.5MiB,18.09%,595MiB
2023-11-03 13:37:18.647549,8.59%,360.6MiB,0.00%,520.8MiB,1.12%,1GiB,0.11%,34.11MiB,1.85%,519.5MiB,10.12%,595.3MiB
