time,kafka cpu,kafka memory,kibana cpu,kibana memory,elasticsearch cpu,elasticsearch memory,zookeeper cpu,zookeeper memory,jobmanager cpu,jobmanager memory,taskmanager cpu,taskmanager memory
2023-11-02 15:35:46.385498,22.84%,355.2MiB,0.67%,595.1MiB,1.32%,1.038GiB,0.19%,34.15MiB,5.80%,459.2MiB,15.72%,580.9MiB
2023-11-02 15:35:48.508985,10.83%,355.3MiB,0.99%,595.3MiB,6.89%,1.038GiB,0.09%,34.15MiB,1.59%,459.2MiB,18.64%,581.5MiB
2023-11-02 15:35:50.697729,10.34%,355.3MiB,0.00%,595.4MiB,0.52%,1.038GiB,0.12%,34.15MiB,1.29%,459.3MiB,14.07%,582.6MiB
2023-11-02 15:35:52.926717,20.98%,355.7MiB,2.70%,595.1MiB,1.42%,1.039GiB,0.11%,34.15MiB,1.31%,457.1MiB,27.04%,584MiB
2023-11-02 15:35:55.098459,18.00%,355.8MiB,0.81%,558.9MiB,8.79%,1.039GiB,0.11%,34.15MiB,1.34%,457.3MiB,13.10%,582MiB
2023-11-02 15:35:57.310248,6.20%,355.8MiB,1.28%,559.1MiB,5.70%,1.039GiB,0.14%,34.15MiB,1.39%,457.4MiB,14.90%,582.7MiB
2023-11-02 15:35:59.516713,11.59%,356.2MiB,1.15%,559.2MiB,3.10%,1.039GiB,0.12%,34.15MiB,1.46%,457.4MiB,18.91%,583.9MiB
2023-11-02 15:36:01.671036,10.99%,356.7MiB,0.45%,559.4MiB,3.99%,1.039GiB,0.12%,34.15MiB,1.46%,457.7MiB,11.37%,585MiB
2023-11-02 15:36:03.842041,12.22%,356.6MiB,42.26%,530MiB,6.53%,1.04GiB,0.21%,34.16MiB,3.29%,457.6MiB,26.32%,581MiB
2023-11-02 15:36:06.114060,38.55%,356.7MiB,0.00%,506.2MiB,1.02%,1.04GiB,0.24%,34.16MiB,8.40%,458.2MiB,18.65%,583.8MiB
2023-11-02 15:36:08.217853,6.34%,357MiB,0.00%,506.5MiB,0.69%,1.04GiB,0.09%,34.16MiB,1.41%,458.2MiB,6.43%,584.4MiB
2023-11-02 15:36:10.408637,7.96%,356.8MiB,0.00%,506.8MiB,0.87%,1.04GiB,0.17%,34.16MiB,1.42%,458.2MiB,9.75%,585.3MiB
2023-11-02 15:36:12.595871,11.76%,357.2MiB,1.60%,506.7MiB,9.50%,1.04GiB,0.12%,34.16MiB,2.31%,458.2MiB,13.61%,586.7MiB
2023-11-02 15:36:14.754584,7.01%,357.7MiB,0.75%,506.8MiB,3.21%,1.04GiB,0.09%,34.16MiB,4.51%,458.5MiB,13.96%,588MiB
2023-11-02 15:36:16.930009,16.55%,357.9MiB,0.67%,507.1MiB,8.62%,1.04GiB,0.12%,34.17MiB,1.37%,458.6MiB,17.88%,588.9MiB
2023-11-02 15:36:19.152526,11.56%,358MiB,2.46%,506.7MiB,23.58%,1.04GiB,0.10%,34.17MiB,1.38%,458.6MiB,19.38%,589.4MiB
2023-11-02 15:36:21.322018,16.61%,358.1MiB,0.53%,506.8MiB,12.62%,1.04GiB,0.11%,34.17MiB,1.38%,458.6MiB,36.05%,590.2MiB
2023-11-02 15:36:23.552575,9.16%,358.4MiB,0.00%,507.2MiB,1.06%,1.04GiB,0.12%,34.17MiB,3.62%,454MiB,51.64%,572MiB
2023-11-02 15:36:25.749557,51.48%,369.4MiB,0.00%,506.7MiB,1.21%,1.04GiB,0.12%,34.17MiB,4.35%,454.2MiB,21.30%,573.2MiB
2023-11-02 15:36:27.951559,6.16%,371.1MiB,1.72%,506.9MiB,3.56%,1.04GiB,0.35%,34.17MiB,1.69%,454.2MiB,12.22%,574MiB
2023-11-02 15:36:30.230221,6.62%,371.2MiB,0.00%,507.1MiB,4.54%,1.04GiB,0.11%,34.17MiB,1.25%,451.9MiB,5.77%,569.5MiB
2023-11-02 15:36:32.344444,5.59%,371.2MiB,1.29%,506.8MiB,1.89%,1.04GiB,0.14%,34.17MiB,15.00%,469.9MiB,7.08%,569.9MiB
2023-11-02 15:36:34.512557,5.13%,371.3MiB,0.93%,507.1MiB,4.97%,1.04GiB,0.23%,34.18MiB,1.35%,469.9MiB,6.99%,564.5MiB
2023-11-02 15:36:36.596247,8.87%,359.6MiB,0.98%,507.3MiB,3.29%,1.04GiB,0.12%,34.18MiB,1.53%,470.2MiB,4.75%,562.6MiB
2023-11-02 15:36:38.817236,31.52%,359.6MiB,1.24%,507.7MiB,1.72%,1.04GiB,0.09%,34.18MiB,2.81%,470.2MiB,10.61%,563.2MiB
2023-11-02 15:36:41.115907,4.43%,359.9MiB,2.37%,507.1MiB,12.65%,1.04GiB,0.12%,34.18MiB,2.98%,470.3MiB,13.49%,566.2MiB
2023-11-02 15:36:43.394766,5.62%,359.9MiB,0.29%,507.6MiB,1.30%,1.04GiB,0.11%,34.18MiB,2.22%,471.4MiB,16.94%,567.5MiB
2023-11-02 15:36:45.706431,6.98%,359.9MiB,0.74%,507.2MiB,5.52%,1.04GiB,0.16%,34.18MiB,4.48%,475.5MiB,23.43%,567.8MiB
2023-11-02 15:36:47.900033,5.50%,359.9MiB,0.00%,507.3MiB,1.27%,1.041GiB,0.09%,34.18MiB,2.41%,475.6MiB,12.66%,568.5MiB
2023-11-02 15:36:50.095483,6.78%,360.1MiB,0.00%,507.6MiB,0.95%,1.041GiB,0.12%,34.18MiB,2.92%,469.6MiB,5.21%,569.6MiB
2023-11-02 15:36:52.252067,13.58%,359.9MiB,1.67%,507.4MiB,37.43%,1.041GiB,0.18%,34.18MiB,1.68%,469.6MiB,8.45%,569.8MiB
2023-11-02 15:36:54.378488,3.74%,360.1MiB,1.94%,507.7MiB,7.64%,1.041GiB,0.11%,34.18MiB,27.64%,493.5MiB,10.03%,570.8MiB
2023-11-02 15:36:56.676451,6.25%,360.1MiB,0.42%,507.7MiB,1.44%,1.041GiB,0.72%,34.18MiB,5.80%,493.8MiB,5.90%,571.3MiB
2023-11-02 15:36:58.774974,5.20%,360.2MiB,1.02%,508MiB,0.58%,1.041GiB,0.11%,34.18MiB,1.83%,493.8MiB,11.62%,573.2MiB
2023-11-02 15:37:00.913327,9.02%,360.2MiB,1.13%,507.4MiB,9.69%,1.041GiB,0.14%,34.18MiB,1.64%,493.9MiB,9.65%,574.2MiB
2023-11-02 15:37:03.073591,5.35%,360.2MiB,1.38%,507.8MiB,0.57%,1.041GiB,0.11%,34.18MiB,1.26%,494MiB,12.04%,572.1MiB
2023-11-02 15:37:05.216871,8.12%,360.2MiB,0.00%,508.1MiB,1.07%,1.041GiB,0.12%,34.19MiB,4.01%,494.3MiB,10.20%,573.6MiB
2023-11-02 15:37:07.324473,5.25%,360.4MiB,0.95%,507.5MiB,2.76%,1.041GiB,0.28%,34.19MiB,1.29%,494.4MiB,16.35%,574.1MiB
2023-11-02 15:37:09.572968,9.96%,360.4MiB,1.74%,507.8MiB,8.74%,1.041GiB,0.10%,34.19MiB,1.51%,494.5MiB,24.95%,579MiB
2023-11-02 15:37:11.819811,20.66%,360.4MiB,1.02%,508.1MiB,11.03%,1.041GiB,0.11%,34.2MiB,5.99%,494.6MiB,35.33%,582MiB
2023-11-02 15:37:14.022941,4.64%,360.4MiB,1.89%,507.9MiB,1.42%,1.041GiB,0.09%,34.2MiB,3.51%,495MiB,6.12%,583MiB
2023-11-02 15:37:16.324758,6.15%,360.5MiB,0.85%,508.4MiB,3.65%,1.041GiB,0.24%,34.2MiB,3.74%,495MiB,23.66%,582.9MiB
